date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsRollingRate00_05,cumAdmissions00_05,cumAdmissionsRollingRate06_17,cumAdmissions06_17,cumAdmissionsRollingRate18_64,cumAdmissions18_64,cumAdmissionsRollingRate65_84,cumAdmissions65_84,cumAdmissionsRollingRate85+,cumAdmissions85+
2020-03-19,South East,103,,,,0.2,1,0.1,1,0.5,25,2.3,35,12.6,32
2020-03-20,South East,90,,188,,0.2,1,0.1,1,1.0,55,4.4,66,18.9,48
2020-03-21,South East,91,,332,,0.2,1,0.1,1,1.7,87,6.7,101,24.0,61
2020-03-22,South East,94,,439,,0.5,3,0.1,1,2.2,118,9.7,145,28.4,72
2020-03-23,South East,114,,480,,0.7,4,0.2,2,3.0,156,12.6,189,39.0,99
2020-03-24,South East,123,,506,,0.7,4,0.2,2,3.5,185,16.7,250,51.6,131
2020-03-25,South East,141,8.5,610,,0.7,4,0.2,3,4.3,226,20.7,310,65.4,166
2020-03-26,South East,138,8.9,654,,0.8,5,0.2,3,4.9,255,24.3,364,81.2,206
2020-03-27,South East,230,10.5,800,,1.2,7,0.2,3,6.1,320,31.7,474,99.7,253
2020-03-28,South East,250,12.3,861,,1.3,8,0.5,6,7.5,393,38.6,578,120.6,306
2020-03-29,South East,273,14.3,1076,,1.5,9,0.5,6,8.9,465,46.4,694,145.0,368
2020-03-30,South East,317,16.5,1284,,1.6,10,0.5,6,10.3,541,55.7,833,172.2,437
2020-03-31,South East,295,18.5,1535,,1.6,10,0.5,6,11.7,614,63.9,957,202.1,513
2020-04-01,South East,304,20.3,1461,,2.0,12,0.5,6,13.5,709,72.6,1087,224.2,569
2020-04-02,South East,322,22.4,1715,157,2.5,15,0.5,7,15.4,811,80.0,1197,255.3,648
2020-04-03,South East,332,23.5,1683,188,2.6,16,0.6,8,17.4,916,89.3,1337,278.6,707
2020-04-04,South East,348,24.6,1848,226,2.6,16,0.7,9,19.5,1023,100.4,1503,307.4,780
2020-04-05,South East,277,24.7,2037,256,2.8,17,0.8,10,21.5,1128,107.9,1615,329.8,837
2020-04-06,South East,326,24.8,2055,248,3.3,20,1.1,14,23.6,1238,116.4,1742,361.7,918
2020-04-07,South East,353,25.4,2280,310,3.6,22,1.1,14,25.8,1354,126.3,1890,395.2,1003
2020-04-08,South East,249,24.8,2290,302,3.6,22,1.1,14,27.5,1443,133.5,1998,415.3,1054
2020-04-09,South East,286,24.4,2174,284,3.6,22,1.1,14,29.4,1543,141.6,2119,440.9,1119
2020-04-10,South East,269,23.7,2297,338,3.8,23,1.2,16,31.1,1634,149.4,2236,463.8,1177
2020-04-11,South East,235,22.4,2285,350,4.3,26,1.3,17,32.9,1727,155.8,2332,480.3,1219
2020-04-12,South East,228,21.9,2342,353,4.8,29,1.5,19,34.3,1803,161.9,2423,502.4,1275
2020-04-13,South East,227,20.8,2346,342,4.9,30,1.5,19,35.8,1879,168.3,2519,523.7,1329
2020-04-14,South East,185,18.9,2347,342,4.9,30,1.5,19,37.4,1963,172.6,2584,537.9,1365
2020-04-15,South East,228,18.6,2262,355,5.1,31,1.5,19,39.1,2054,178.6,2673,556.4,1412
2020-04-16,South East,326,19.1,2245,345,5.4,33,1.6,21,41.4,2171,187.1,2800,587.1,1490
2020-04-17,South East,260,19.0,2205,350,5.8,35,1.7,22,43.4,2278,192.6,2883,613.5,1557
2020-04-18,South East,180,18.4,2250,350,6.2,38,1.7,22,44.6,2340,197.4,2955,630.5,1600
2020-04-19,South East,199,18.0,2278,340,6.4,39,1.7,22,45.9,2410,203.5,3046,645.0,1637
2020-04-20,South East,227,18.0,2261,335,6.6,40,1.7,22,47.7,2505,209.3,3133,662.4,1681
2020-04-21,South East,198,18.2,2185,334,6.6,40,1.8,23,49.1,2577,214.5,3210,681.3,1729
2020-04-22,South East,202,17.9,2164,340,6.6,40,1.8,23,50.7,2662,219.8,3290,695.5,1765
2020-04-23,South East,181,16.3,2034,324,6.6,40,1.8,23,51.9,2726,224.1,3354,716.4,1818
2020-04-24,South East,235,16.0,1909,311,7.1,43,1.8,23,53.1,2788,230.6,3451,745.1,1891
2020-04-25,South East,168,15.8,1849,298,7.2,44,1.8,23,54.1,2842,235.1,3519,762.9,1936
2020-04-26,South East,182,15.7,1775,273,7.6,46,1.9,24,55.4,2910,240.1,3594,777.1,1972
2020-04-27,South East,199,15.3,1831,279,7.9,48,1.9,24,56.9,2987,245.3,3672,793.6,2014
2020-04-28,South East,153,14.8,1791,273,8.1,49,1.9,24,58.1,3048,249.5,3734,805.0,2043
2020-04-29,South East,196,14.8,1657,253,8.1,49,1.9,25,59.2,3108,254.8,3814,826.7,2098
2020-04-30,South East,164,14.6,1655,254,8.1,49,2.0,26,60.5,3176,258.8,3874,840.5,2133
2020-05-01,South East,154,13.7,1648,246,8.4,51,2.0,26,61.5,3229,262.5,3929,857.8,2177
2020-05-02,South East,142,13.4,1544,227,8.5,52,2.0,26,62.4,3275,266.8,3994,869.7,2207
2020-05-03,South East,137,12.9,1523,226,8.5,52,2.1,27,63.1,3315,270.5,4049,885.8,2248
2020-05-04,South East,121,12.0,1553,223,8.5,52,2.1,27,63.9,3355,273.6,4095,899.6,2283
2020-05-05,South East,111,11.5,1499,209,8.5,52,2.1,27,64.7,3395,276.7,4142,909.1,2307
2020-05-06,South East,127,10.7,1421,195,8.5,52,2.1,27,65.4,3434,280.3,4195,922.9,2342
2020-05-07,South East,107,10.1,1351,185,8.5,52,2.1,27,66.1,3469,283.1,4237,934.7,2372
2020-05-08,South East,91,9.4,1279,185,8.5,52,2.1,27,66.7,3502,285.4,4271,944.1,2396
2020-05-09,South East,96,8.9,1206,171,8.5,52,2.1,27,67.3,3533,288.0,4310,954.4,2422
2020-05-10,South East,139,8.9,1181,175,8.7,53,2.2,28,68.2,3580,291.2,4358,970.9,2464
2020-05-11,South East,113,8.8,1196,163,8.9,54,2.2,28,68.9,3618,293.8,4398,984.3,2498
2020-05-12,South East,109,8.8,1168,153,9.0,55,2.2,28,69.6,3654,296.7,4441,995.7,2527
2020-05-13,South East,99,8.5,1126,148,9.2,56,2.2,28,70.2,3684,299.4,4482,1006.4,2554
2020-05-14,South East,113,8.5,1092,150,9.2,56,2.2,28,70.8,3718,302.8,4532,1017.8,2583
2020-05-15,South East,85,8.5,1073,133,9.2,56,2.2,28,71.3,3743,305.3,4569,1026.9,2606
2020-05-16,South East,71,8.2,982,130,9.2,56,2.2,28,71.6,3759,307.9,4609,1032.8,2621
2020-05-17,South East,94,7.7,966,118,9.2,56,2.2,28,72.2,3789,310.2,4643,1044.6,2651
2020-05-18,South East,104,7.6,959,117,9.2,56,2.2,28,72.8,3821,313.2,4688,1055.2,2678
2020-05-19,South East,96,7.4,940,110,9.2,56,2.2,28,73.2,3844,316.7,4740,1063.5,2699
2020-05-20,South East,107,7.5,903,104,9.2,56,2.2,28,73.7,3871,320.0,4790,1075.3,2729
2020-05-21,South East,88,7.2,907,99,9.4,57,2.2,29,74.1,3891,323.0,4834,1084.0,2751
2020-05-22,South East,78,7.2,924,97,9.4,57,2.3,30,74.5,3913,325.4,4871,1091.1,2769
2020-05-23,South East,59,7.0,851,89,9.4,57,2.3,30,74.8,3925,327.3,4899,1098.6,2788
2020-05-24,South East,78,6.9,880,95,9.4,57,2.3,30,75.2,3948,329.4,4931,1107.7,2811
2020-05-25,South East,82,6.6,826,88,9.5,58,2.3,30,75.7,3974,332.0,4969,1114.4,2828
2020-05-26,South East,74,6.4,851,86,9.9,60,2.3,30,76.1,3996,334.0,4999,1122.2,2848
2020-05-27,South East,72,6.0,821,84,9.9,60,2.3,30,76.5,4018,335.5,5022,1132.9,2875
2020-05-28,South East,79,5.9,765,81,9.9,60,2.3,30,77.0,4041,338.1,5061,1139.6,2892
2020-05-29,South East,65,5.7,753,73,9.9,60,2.4,31,77.3,4058,339.9,5088,1147.5,2912
2020-05-30,South East,74,5.9,694,72,9.9,60,2.4,31,77.5,4070,342.6,5128,1156.1,2934
2020-05-31,South East,46,5.5,700,70,9.9,60,2.4,31,77.8,4083,344.1,5151,1160.1,2944
2020-06-01,South East,56,5.2,720,64,9.9,60,2.4,31,78.1,4099,346.1,5180,1164.4,2955
2020-06-02,South East,83,5.3,701,59,10.0,61,2.4,31,78.4,4118,348.5,5216,1175.0,2982
2020-06-03,South East,57,5.2,689,52,10.2,62,2.5,32,78.9,4140,349.8,5236,1180.2,2995
2020-06-04,South East,56,4.9,671,48,10.4,63,2.6,33,79.2,4156,351.5,5261,1185.3,3008
2020-06-05,South East,42,4.7,648,46,10.4,63,2.6,33,79.5,4173,352.6,5277,1188.8,3017
2020-06-06,South East,49,4.4,634,45,10.4,63,2.6,34,79.7,4184,354.0,5299,1194.7,3032
