date,areaName,hospitalAdmissions,hospitalPatients,hospitalPatientsMv
2020-10-03,South West,10,50,2
2020-10-04,South West,15,57,3
2020-10-05,South West,20,63,4
2020-10-06,South West,21,64,6
2020-10-07,South West,21,70,6
2020-10-08,South West,35,69,6
2020-10-09,South West,23,83,4
2020-10-10,South West,18,94,5
2020-10-11,South West,34,99,8
2020-10-12,South West,32,110,10
2020-10-13,South West,23,112,11
2020-10-14,South West,46,122,15
2020-10-15,South West,33,127,16
2020-10-16,South West,22,156,17
2020-10-17,South West,37,163,20
2020-10-18,South West,34,168,21
2020-10-19,South West,52,198,19
2020-10-20,South West,43,217,21
2020-10-21,South West,48,225,19
2020-10-22,South West,36,245,19
2020-10-23,South West,36,257,21
2020-10-24,South West,46,264,21
2020-10-25,South West,64,271,21
2020-10-26,South West,88,310,22
2020-10-27,South West,63,342,30
2020-10-28,South West,69,380,33
2020-10-29,South West,69,401,34
2020-10-30,South West,80,418,33
2020-10-31,South West,99,453,40
2020-11-01,South West,76,461,42
2020-11-02,South West,91,511,50
2020-11-03,South West,86,534,57
2020-11-04,South West,102,539,60
2020-11-05,South West,105,555,67
2020-11-06,South West,103,582,60
2020-11-07,South West,110,629,51
2020-11-08,South West,111,678,57
2020-11-09,South West,109,719,56
2020-11-10,South West,79,765,57
2020-11-11,South West,135,797,57
2020-11-12,South West,170,814,58
2020-11-13,South West,129,848,58
2020-11-14,South West,105,891,58
2020-11-15,South West,120,930,64
2020-11-16,South West,105,896,51
2020-11-17,South West,127,891,58
2020-11-18,South West,127,990,69
2020-11-19,South West,94,1001,61
2020-11-20,South West,95,1008,65
2020-11-21,South West,103,964,64
2020-11-22,South West,117,986,62
2020-11-23,South West,122,1025,72
2020-11-24,South West,103,1038,70
2020-11-25,South West,121,1020,75
2020-11-26,South West,101,1017,67
2020-11-27,South West,87,996,66
2020-11-28,South West,100,899,62
2020-11-29,South West,94,988,64
2020-11-30,South West,84,1016,61
2020-12-01,South West,78,971,66
2020-12-02,South West,97,926,61
2020-12-03,South West,87,906,58
2020-12-04,South West,69,905,60
2020-12-05,South West,83,877,57
2020-12-06,South West,92,887,58
2020-12-07,South West,114,912,54
2020-12-08,South West,85,907,55
2020-12-09,South West,131,913,55
2020-12-10,South West,104,901,53
2020-12-11,South West,103,913,51
2020-12-12,South West,103,843,46
2020-12-13,South West,118,946,53
2020-12-14,South West,125,1005,56
2020-12-15,South West,112,1005,57
2020-12-16,South West,105,1021,58
2020-12-17,South West,133,1025,54
2020-12-18,South West,90,1026,56
2020-12-19,South West,91,1051,57
2020-12-20,South West,106,1076,60
2020-12-21,South West,112,1112,62
2020-12-22,South West,130,1102,56
2020-12-23,South West,103,1108,62
2020-12-24,South West,91,1106,62
2020-12-25,South West,101,1031,58
2020-12-26,South West,114,1045,56
2020-12-27,South West,113,1058,51
2020-12-28,South West,163,1103,59
2020-12-29,South West,148,1124,58
2020-12-30,South West,220,1166,67
2020-12-31,South West,140,1177,75
2021-01-01,South West,,1199,74
2021-01-02,South West,,1236,79
2021-01-03,South West,,1323,83
