date,areaName,deathsRegistered
2020-08-07,Wales,24
2020-08-06,Wales,24
2020-08-05,Wales,24
2020-08-04,Wales,24
2020-08-03,Wales,24
2020-08-02,Wales,24
2020-08-01,Wales,24
2020-07-31,Wales,10
2020-07-30,Wales,10
2020-07-29,Wales,10
2020-07-28,Wales,10
2020-07-27,Wales,10
2020-07-26,Wales,10
2020-07-25,Wales,10
2020-07-24,Wales,7
2020-07-23,Wales,7
2020-07-22,Wales,7
2020-07-21,Wales,7
2020-07-20,Wales,7
2020-07-19,Wales,7
2020-07-18,Wales,7
2020-07-17,Wales,11
2020-07-16,Wales,11
2020-07-15,Wales,11
2020-07-14,Wales,11
2020-07-13,Wales,11
2020-07-12,Wales,11
2020-07-11,Wales,11
2020-07-10,Wales,22
2020-07-09,Wales,22
2020-07-08,Wales,22
2020-07-07,Wales,22
2020-07-06,Wales,22
2020-07-05,Wales,22
2020-07-04,Wales,22
2020-07-03,Wales,35
2020-07-02,Wales,35
2020-07-01,Wales,35
2020-06-30,Wales,35
2020-06-29,Wales,35
2020-06-28,Wales,35
2020-06-27,Wales,35
2020-06-26,Wales,30
2020-06-25,Wales,30
2020-06-24,Wales,30
2020-06-23,Wales,30
2020-06-22,Wales,30
2020-06-21,Wales,30
2020-06-20,Wales,30
2020-06-19,Wales,39
2020-06-18,Wales,39
2020-06-17,Wales,39
2020-06-16,Wales,39
2020-06-15,Wales,39
2020-06-14,Wales,39
2020-06-13,Wales,39
2020-06-12,Wales,57
2020-06-11,Wales,57
2020-06-10,Wales,57
2020-06-09,Wales,57
2020-06-08,Wales,57
2020-06-07,Wales,57
2020-06-06,Wales,57
2020-06-05,Wales,100
2020-06-04,Wales,100
2020-06-03,Wales,100
2020-06-02,Wales,100
2020-06-01,Wales,100
2020-05-31,Wales,100
2020-05-30,Wales,100
2020-05-29,Wales,105
2020-05-28,Wales,105
2020-05-27,Wales,105
2020-05-26,Wales,105
2020-05-25,Wales,105
2020-05-24,Wales,105
2020-05-23,Wales,105
2020-05-22,Wales,134
2020-05-21,Wales,134
2020-05-20,Wales,134
2020-05-19,Wales,134
2020-05-18,Wales,134
2020-05-17,Wales,134
2020-05-16,Wales,134
2020-05-15,Wales,180
2020-05-14,Wales,180
2020-05-13,Wales,180
2020-05-12,Wales,180
2020-05-11,Wales,180
2020-05-10,Wales,180
2020-05-09,Wales,180
2020-05-08,Wales,211
2020-05-07,Wales,211
2020-05-06,Wales,211
2020-05-05,Wales,211
2020-05-04,Wales,211
2020-05-03,Wales,211
2020-05-02,Wales,211
2020-05-01,Wales,281
2020-04-30,Wales,281
2020-04-29,Wales,281
2020-04-28,Wales,281
2020-04-27,Wales,281
2020-04-26,Wales,281
2020-04-25,Wales,281
2020-04-24,Wales,413
2020-04-23,Wales,413
2020-04-22,Wales,413
2020-04-21,Wales,413
2020-04-20,Wales,413
2020-04-19,Wales,413
2020-04-18,Wales,413
2020-04-17,Wales,409
2020-04-16,Wales,409
2020-04-15,Wales,409
2020-04-14,Wales,409
2020-04-13,Wales,409
2020-04-12,Wales,409
