date,areaName,deathsRegistered
2020-01-03,East of England,0
2020-01-10,East of England,0
2020-01-17,East of England,0
2020-01-24,East of England,0
2020-01-31,East of England,0
2020-02-07,East of England,0
2020-02-14,East of England,0
2020-02-21,East of England,0
2020-02-28,East of England,0
2020-03-06,East of England,0
2020-03-13,East of England,0
2020-03-20,East of England,3
2020-03-27,East of England,12
2020-04-03,East of England,283
2020-04-10,East of England,564
2020-04-17,East of England,835
2020-04-24,East of England,814
2020-05-01,East of England,631
2020-05-08,East of England,373
2020-05-15,East of England,401
2020-05-22,East of England,295
2020-05-29,East of England,204
2020-06-05,East of England,188
2020-06-12,East of England,122
2020-06-19,East of England,77
2020-06-26,East of England,59
2020-07-03,East of England,67
2020-07-10,East of England,48
2020-07-17,East of England,45
2020-07-24,East of England,23
2020-07-31,East of England,14
2020-08-07,East of England,11
2020-08-14,East of England,11
2020-08-21,East of England,7
2020-08-28,East of England,16
2020-09-04,East of England,6
2020-09-11,East of England,8
2020-09-18,East of England,8
2020-09-25,East of England,10
2020-10-02,East of England,14
2020-10-09,East of England,11
2020-10-16,East of England,33
2020-10-23,East of England,38
2020-10-30,East of England,65
2020-11-06,East of England,116
2020-11-13,East of England,132
2020-11-20,East of England,131
2020-11-27,East of England,155
2020-12-04,East of England,182
2020-12-11,East of England,201
2020-12-18,East of England,237
2020-12-25,East of England,301
2021-01-01,East of England,325
2021-01-08,East of England,816
