date,areaName,deathsRegistered
2020-01-03,North East,0
2020-01-10,North East,0
2020-01-17,North East,0
2020-01-24,North East,0
2020-01-31,North East,0
2020-02-07,North East,0
2020-02-14,North East,0
2020-02-21,North East,0
2020-02-28,North East,0
2020-03-06,North East,0
2020-03-13,North East,0
2020-03-20,North East,1
2020-03-27,North East,15
2020-04-03,North East,134
2020-04-10,North East,288
2020-04-17,North East,475
2020-04-24,North East,419
2020-05-01,North East,316
2020-05-08,North East,271
2020-05-15,North East,248
2020-05-22,North East,202
2020-05-29,North East,141
2020-06-05,North East,113
2020-06-12,North East,71
2020-06-19,North East,30
2020-06-26,North East,32
2020-07-03,North East,28
2020-07-10,North East,8
2020-07-17,North East,8
2020-07-24,North East,4
2020-07-31,North East,5
2020-08-07,North East,5
2020-08-14,North East,5
2020-08-21,North East,4
2020-08-28,North East,2
2020-09-04,North East,5
2020-09-11,North East,3
2020-09-18,North East,8
2020-09-25,North East,13
2020-10-02,North East,40
2020-10-09,North East,60
2020-10-16,North East,93
2020-10-23,North East,114
2020-10-30,North East,118
2020-11-06,North East,152
2020-11-13,North East,180
2020-11-20,North East,185
2020-11-27,North East,220
2020-12-04,North East,183
2020-12-11,North East,147
2020-12-18,North East,143
2020-12-25,North East,180
2021-01-01,North East,157
