date,areaName,deathsRegistered
2020-01-03,South East,0
2020-01-10,South East,0
2020-01-17,South East,0
2020-01-24,South East,0
2020-01-31,South East,0
2020-02-07,South East,0
2020-02-14,South East,0
2020-02-21,South East,0
2020-02-28,South East,0
2020-03-06,South East,0
2020-03-13,South East,2
2020-03-20,South East,17
2020-03-27,South East,69
2020-04-03,South East,411
2020-04-10,South East,729
2020-04-17,South East,1109
2020-04-24,South East,1232
2020-05-01,South East,966
2020-05-08,South East,551
2020-05-15,South East,598
2020-05-22,South East,409
2020-05-29,South East,269
2020-06-05,South East,219
2020-06-12,South East,174
2020-06-19,South East,117
2020-06-26,South East,85
2020-07-03,South East,73
2020-07-10,South East,62
2020-07-17,South East,69
2020-07-24,South East,40
2020-07-31,South East,45
2020-08-07,South East,24
2020-08-14,South East,21
2020-08-21,South East,24
2020-08-28,South East,11
2020-09-04,South East,17
2020-09-11,South East,12
2020-09-18,South East,11
2020-09-25,South East,16
2020-10-02,South East,26
2020-10-09,South East,21
2020-10-16,South East,30
2020-10-23,South East,41
2020-10-30,South East,73
2020-11-06,South East,89
2020-11-13,South East,144
2020-11-20,South East,176
2020-11-27,South East,256
2020-12-04,South East,250
2020-12-11,South East,294
2020-12-18,South East,425
2020-12-25,South East,415
2021-01-01,South East,523
2021-01-08,South East,1197
2021-01-15,South East,1411
2021-01-22,South East,1734
2021-01-29,South East,1710
2021-02-05,South East,1415
2021-02-12,South East,974
2021-02-19,South East,636
