week_ended,week_number,total_registrations,covid_registrations,covid_occurrences,estimated_occurrences
2014-05-02,18,832,,,
2014-05-09,19,752,,,
2014-05-16,20,793,,,
2014-05-23,21,745,,,
2014-05-30,22,686,,,
2014-06-06,23,826,,,
2014-06-13,24,792,,,
2014-06-20,25,794,,,
2014-06-27,26,774,,,
2014-07-04,27,748,,,
2014-07-11,28,771,,,
2014-07-18,29,789,,,
2014-07-25,30,719,,,
2014-08-01,31,705,,,
2014-08-08,32,720,,,
2014-08-15,33,761,,,
2014-08-22,34,777,,,
2014-08-29,35,623,,,
2014-09-05,36,745,,,
2014-09-12,37,762,,,
2014-09-19,38,747,,,
2014-09-26,39,736,,,
2014-10-03,40,769,,,
2014-10-10,41,809,,,
2014-10-17,42,785,,,
2014-10-24,43,775,,,
2014-10-31,44,782,,,
2014-11-07,45,856,,,
2014-11-14,46,833,,,
2014-11-21,47,802,,,
2014-11-28,48,804,,,
2014-12-05,49,797,,,
2014-12-12,50,899,,,
2014-12-19,51,1003,,,
2014-12-26,52,660,,,
2015-01-02,1,1012,,,
2015-01-09,2,1328,,,
2015-01-16,3,1286,,,
2015-01-23,4,1206,,,
2015-01-30,5,1119,,,
2015-02-06,6,1071,,,
2015-02-13,7,1021,,,
2015-02-20,8,965,,,
2015-02-27,9,973,,,
2015-03-06,10,966,,,
2015-03-13,11,904,,,
2015-03-20,12,872,,,
2015-03-27,13,891,,,
2015-04-03,14,784,,,
2015-04-10,15,917,,,
2015-04-17,16,999,,,
2015-04-24,17,889,,,
2015-05-01,18,856,,,
2015-05-08,19,748,,,
2015-05-15,20,890,,,
2015-05-22,21,870,,,
2015-05-29,22,663,,,
2015-06-05,23,865,,,
2015-06-12,24,817,,,
2015-06-19,25,757,,,
2015-06-26,26,756,,,
2015-07-03,27,750,,,
2015-07-10,28,817,,,
2015-07-17,29,781,,,
2015-07-24,30,734,,,
2015-07-31,31,715,,,
2015-08-07,32,664,,,
2015-08-14,33,792,,,
2015-08-21,34,747,,,
2015-08-28,35,797,,,
2015-09-04,36,663,,,
2015-09-11,37,814,,,
2015-09-18,38,748,,,
2015-09-25,39,795,,,
2015-10-02,40,814,,,
2015-10-09,41,821,,,
2015-10-16,42,809,,,
2015-10-23,43,835,,,
2015-10-30,44,814,,,
2015-11-06,45,883,,,
2015-11-13,46,767,,,
2015-11-20,47,844,,,
2015-11-27,48,844,,,
2015-12-04,49,919,,,
2015-12-11,50,915,,,
2015-12-18,51,897,,,
2015-12-25,52,707,,,
2016-01-01,53,646,,,
2016-01-08,1,1067,,,
2016-01-15,2,956,,,
2016-01-22,3,929,,,
2016-01-29,4,858,,,
2016-02-05,5,954,,,
2016-02-12,6,917,,,
2016-02-19,7,881,,,
2016-02-26,8,930,,,
2016-03-04,9,913,,,
2016-03-11,10,911,,,
2016-03-18,11,917,,,
2016-03-25,12,809,,,
2016-04-01,13,859,,,
2016-04-08,14,911,,,
2016-04-15,15,900,,,
2016-04-22,16,908,,,
2016-04-29,17,857,,,
2016-05-06,18,703,,,
2016-05-13,19,914,,,
2016-05-20,20,862,,,
2016-05-27,21,826,,,
2016-06-03,22,680,,,
2016-06-10,23,839,,,
2016-06-17,24,858,,,
2016-06-24,25,804,,,
2016-07-01,26,801,,,
2016-07-08,27,770,,,
2016-07-15,28,784,,,
2016-07-22,29,830,,,
2016-07-29,30,762,,,
2016-08-05,31,739,,,
2016-08-12,32,780,,,
2016-08-19,33,742,,,
2016-08-26,34,793,,,
2016-09-02,35,626,,,
2016-09-09,36,844,,,
2016-09-16,37,736,,,
2016-09-23,38,730,,,
2016-09-30,39,787,,,
2016-10-07,40,777,,,
2016-10-14,41,791,,,
2016-10-21,42,831,,,
2016-10-28,43,850,,,
2016-11-04,44,850,,,
2016-11-11,45,889,,,
2016-11-18,46,892,,,
2016-11-25,47,887,,,
2016-12-02,48,888,,,
2016-12-09,49,932,,,
2016-12-16,50,893,,,
2016-12-23,51,981,,,
2016-12-30,52,759,,,
2017-01-06,1,1016,,,
2017-01-13,2,1170,,,
2017-01-20,3,1190,,,
2017-01-27,4,1116,,,
2017-02-03,5,1045,,,
2017-02-10,6,1036,,,
2017-02-17,7,964,,,
2017-02-24,8,954,,,
2017-03-03,9,963,,,
2017-03-10,10,1038,,,
2017-03-17,11,963,,,
2017-03-24,12,947,,,
2017-03-31,13,870,,,
2017-04-07,14,835,,,
2017-04-14,15,708,,,
2017-04-21,16,812,,,
2017-04-28,17,882,,,
2017-05-05,18,803,,,
2017-05-12,19,988,,,
2017-05-19,20,817,,,
2017-05-26,21,802,,,
2017-06-02,22,726,,,
2017-06-09,23,841,,,
2017-06-16,24,819,,,
2017-06-23,25,841,,,
2017-06-30,26,804,,,
2017-07-07,27,802,,,
2017-07-14,28,862,,,
2017-07-21,29,809,,,
2017-07-28,30,738,,,
2017-08-04,31,784,,,
2017-08-11,32,772,,,
2017-08-18,33,747,,,
2017-08-25,34,783,,,
2017-09-01,35,667,,,
2017-09-08,36,808,,,
2017-09-15,37,758,,,
2017-09-22,38,814,,,
2017-09-29,39,782,,,
2017-10-06,40,818,,,
2017-10-13,41,827,,,
2017-10-20,42,806,,,
2017-10-27,43,743,,,
2017-11-03,44,850,,,
2017-11-10,45,931,,,
2017-11-17,46,898,,,
