week_ended,week_number,total_registrations,covid_registrations,covid_occurrences
2010-01-08,1,1226,0,0
2010-01-15,2,1262,0,0
2010-01-22,3,1186,0,0
2010-01-29,4,1093,0,0
2010-02-05,5,1035,0,0
2010-02-12,6,1049,0,0
2010-02-19,7,1031,0,0
2010-02-26,8,983,0,0
2010-03-05,9,917,0,0
2010-03-12,10,960,0,0
2010-03-19,11,979,0,0
2010-03-26,12,920,0,0
2010-04-02,13,731,0,0
2010-04-09,14,981,0,0
2010-04-16,15,950,0,0
2010-04-23,16,918,0,0
2010-04-30,17,916,0,0
2010-05-07,18,797,0,0
2010-05-14,19,963,0,0
2010-05-21,20,916,0,0
2010-05-28,21,939,0,0
2010-06-04,22,848,0,0
2010-06-11,23,908,0,0
2010-06-18,24,812,0,0
2010-06-25,25,805,0,0
2010-07-02,26,887,0,0
2010-07-09,27,861,0,0
2010-07-16,28,900,0,0
2010-07-23,29,852,0,0
2010-07-30,30,777,0,0
2010-08-06,31,826,0,0
2010-08-13,32,783,0,0
2010-08-20,33,882,0,0
2010-08-27,34,817,0,0
2010-09-03,35,740,0,0
2010-09-10,36,838,0,0
2010-09-17,37,880,0,0
2010-09-24,38,858,0,0
2010-10-01,39,852,0,0
2010-10-08,40,955,0,0
2010-10-15,41,898,0,0
2010-10-22,42,894,0,0
2010-10-29,43,944,0,0
2010-11-05,44,961,0,0
2010-11-12,45,900,0,0
2010-11-19,46,889,0,0
2010-11-26,47,883,0,0
2010-12-03,48,808,0,0
2010-12-10,49,1107,0,0
2010-12-17,50,1015,0,0
2010-12-24,51,1149,0,0
2010-12-31,52,965,0,0
2011-01-07,1,1188,0,0
2011-01-14,2,1267,0,0
2011-01-21,3,1067,0,0
2011-01-28,4,1020,0,0
2011-02-04,5,943,0,0
2011-02-11,6,1010,0,0
2011-02-18,7,927,0,0
2011-02-25,8,873,0,0
2011-03-04,9,900,0,0
2011-03-11,10,946,0,0
2011-03-18,11,953,0,0
2011-03-25,12,893,0,0
2011-04-01,13,863,0,0
2011-04-08,14,931,0,0
2011-04-15,15,923,0,0
2011-04-22,16,801,0,0
2011-04-29,17,784,0,0
2011-05-06,18,923,0,0
2011-05-13,19,907,0,0
2011-05-20,20,815,0,0
2011-05-27,21,884,0,0
2011-06-03,22,776,0,0
2011-06-10,23,868,0,0
2011-06-17,24,852,0,0
2011-06-24,25,825,0,0
2011-07-01,26,880,0,0
2011-07-08,27,843,0,0
2011-07-15,28,855,0,0
2011-07-22,29,814,0,0
2011-07-29,30,801,0,0
2011-08-05,31,858,0,0
2011-08-12,32,860,0,0
2011-08-19,33,873,0,0
2011-08-26,34,869,0,0
2011-09-02,35,735,0,0
2011-09-09,36,852,0,0
2011-09-16,37,860,0,0
2011-09-23,38,852,0,0
2011-09-30,39,888,0,0
2011-10-07,40,862,0,0
2011-10-14,41,882,0,0
2011-10-21,42,795,0,0
2011-10-28,43,847,0,0
2011-11-04,44,936,0,0
2011-11-11,45,868,0,0
2011-11-18,46,859,0,0
2011-11-25,47,878,0,0
2011-12-02,48,845,0,0
2011-12-09,49,995,0,0
2011-12-16,50,1022,0,0
2011-12-23,51,1061,0,0
2011-12-30,52,844,0,0
2012-01-06,1,1096,0,0
2012-01-13,2,1099,0,0
2012-01-20,3,974,0,0
2012-01-27,4,993,0,0
2012-02-03,5,1020,0,0
2012-02-10,6,1032,0,0
2012-02-17,7,1127,0,0
2012-02-24,8,1159,0,0
2012-03-02,9,1149,0,0
2012-03-09,10,1002,0,0
2012-03-16,11,1002,0,0
2012-03-23,12,941,0,0
2012-03-30,13,935,0,0
2012-04-06,14,817,0,0
2012-04-13,15,967,0,0
2012-04-20,16,977,0,0
2012-04-27,17,942,0,0
2012-05-04,18,903,0,0
2012-05-11,19,844,0,0
2012-05-18,20,907,0,0
2012-05-25,21,924,0,0
2012-06-01,22,888,0,0
2012-06-08,23,663,0,0
2012-06-15,24,961,0,0
2012-06-22,25,827,0,0
2012-06-29,26,835,0,0
2012-07-06,27,796,0,0
2012-07-13,28,865,0,0
2012-07-20,29,827,0,0
2012-07-27,30,872,0,0
2012-08-03,31,829,0,0
2012-08-10,32,808,0,0
2012-08-17,33,807,0,0
2012-08-24,34,844,0,0
2012-08-31,35,734,0,0
2012-09-07,36,829,0,0
2012-09-14,37,799,0,0
2012-09-21,38,811,0,0
2012-09-28,39,830,0,0
2012-10-05,40,855,0,0
2012-10-12,41,887,0,0
2012-10-19,42,897,0,0
2012-10-26,43,920,0,0
2012-11-02,44,898,0,0
2012-11-09,45,898,0,0
2012-11-16,46,926,0,0
2012-11-23,47,987,0,0
2012-11-30,48,956,0,0
2012-12-07,49,901,0,0
2012-12-14,50,899,0,0
2012-12-21,51,986,0,0
2012-12-28,52,792,0,0
2013-01-04,1,1080,0,0
2013-01-11,2,1182,0,0
2013-01-18,3,1012,0,0
2013-01-25,4,1063,0,0
2013-02-01,5,1079,0,0
2013-02-08,6,1052,0,0
2013-02-15,7,1117,0,0
2013-02-22,8,1048,0,0
2013-03-01,9,1004,0,0
2013-03-08,10,1041,0,0
2013-03-15,11,1019,0,0
2013-03-22,12,1017,0,0
2013-03-29,13,902,0,0
