week_ended,week_number,total_registrations,covid_registrations,covid_occurrences
2010-01-08,1,1686,0,0
2010-01-15,2,1772,0,0
2010-01-22,3,1576,0,0
2010-01-29,4,1495,0,0
2010-02-05,5,1385,0,0
2010-02-12,6,1402,0,0
2010-02-19,7,1371,0,0
2010-02-26,8,1363,0,0
2010-03-05,9,1417,0,0
2010-03-12,10,1390,0,0
2010-03-19,11,1316,0,0
2010-03-26,12,1292,0,0
2010-04-02,13,1130,0,0
2010-04-09,14,1357,0,0
2010-04-16,15,1369,0,0
2010-04-23,16,1328,0,0
2010-04-30,17,1252,0,0
2010-05-07,18,1150,0,0
2010-05-14,19,1276,0,0
2010-05-21,20,1248,0,0
2010-05-28,21,1292,0,0
2010-06-04,22,1145,0,0
2010-06-11,23,1268,0,0
2010-06-18,24,1118,0,0
2010-06-25,25,1157,0,0
2010-07-02,26,1236,0,0
2010-07-09,27,1163,0,0
2010-07-16,28,1153,0,0
2010-07-23,29,1108,0,0
2010-07-30,30,1155,0,0
2010-08-06,31,1110,0,0
2010-08-13,32,1138,0,0
2010-08-20,33,1169,0,0
2010-08-27,34,1187,0,0
2010-09-03,35,1081,0,0
2010-09-10,36,1313,0,0
2010-09-17,37,1256,0,0
2010-09-24,38,1137,0,0
2010-10-01,39,1252,0,0
2010-10-08,40,1265,0,0
2010-10-15,41,1239,0,0
2010-10-22,42,1206,0,0
2010-10-29,43,1342,0,0
2010-11-05,44,1370,0,0
2010-11-12,45,1319,0,0
2010-11-19,46,1306,0,0
2010-11-26,47,1356,0,0
2010-12-03,48,1343,0,0
2010-12-10,49,1413,0,0
2010-12-17,50,1509,0,0
2010-12-24,51,1605,0,0
2010-12-31,52,1408,0,0
2011-01-07,1,1662,0,0
2011-01-14,2,1797,0,0
2011-01-21,3,1555,0,0
2011-01-28,4,1429,0,0
2011-02-04,5,1366,0,0
2011-02-11,6,1359,0,0
2011-02-18,7,1343,0,0
2011-02-25,8,1366,0,0
2011-03-04,9,1329,0,0
2011-03-11,10,1295,0,0
2011-03-18,11,1279,0,0
2011-03-25,12,1291,0,0
2011-04-01,13,1322,0,0
2011-04-08,14,1310,0,0
2011-04-15,15,1305,0,0
2011-04-22,16,1171,0,0
2011-04-29,17,1104,0,0
2011-05-06,18,1324,0,0
2011-05-13,19,1328,0,0
2011-05-20,20,1276,0,0
2011-05-27,21,1302,0,0
2011-06-03,22,1044,0,0
2011-06-10,23,1250,0,0
2011-06-17,24,1306,0,0
2011-06-24,25,1142,0,0
2011-07-01,26,1215,0,0
2011-07-08,27,1215,0,0
2011-07-15,28,1159,0,0
2011-07-22,29,1139,0,0
2011-07-29,30,1190,0,0
2011-08-05,31,1235,0,0
2011-08-12,32,1212,0,0
2011-08-19,33,1146,0,0
2011-08-26,34,1150,0,0
2011-09-02,35,1092,0,0
2011-09-09,36,1161,0,0
2011-09-16,37,1121,0,0
2011-09-23,38,1119,0,0
2011-09-30,39,1229,0,0
2011-10-07,40,1216,0,0
2011-10-14,41,1169,0,0
2011-10-21,42,1150,0,0
2011-10-28,43,1267,0,0
2011-11-04,44,1301,0,0
2011-11-11,45,1244,0,0
2011-11-18,46,1310,0,0
2011-11-25,47,1238,0,0
2011-12-02,48,1229,0,0
2011-12-09,49,1360,0,0
2011-12-16,50,1449,0,0
2011-12-23,51,1518,0,0
2011-12-30,52,1250,0,0
2012-01-06,1,1442,0,0
2012-01-13,2,1452,0,0
2012-01-20,3,1429,0,0
2012-01-27,4,1377,0,0
2012-02-03,5,1382,0,0
2012-02-10,6,1354,0,0
2012-02-17,7,1430,0,0
2012-02-24,8,1465,0,0
2012-03-02,9,1417,0,0
2012-03-09,10,1419,0,0
2012-03-16,11,1300,0,0
