week_ended,week_number,total_registrations,covid_registrations,covid_occurrences,estimated_occurrences
2014-03-14,11,1005,,,
2014-03-21,12,997,,,
2014-03-28,13,1040,,,
2014-04-04,14,1100,,,
2014-04-11,15,985,,,
2014-04-18,16,876,,,
2014-04-25,17,950,,,
2014-05-02,18,1095,,,
2014-05-09,19,951,,,
2014-05-16,20,1051,,,
2014-05-23,21,912,,,
2014-05-30,22,775,,,
2014-06-06,23,1064,,,
2014-06-13,24,961,,,
2014-06-20,25,1010,,,
2014-06-27,26,955,,,
2014-07-04,27,898,,,
2014-07-11,28,1013,,,
2014-07-18,29,933,,,
2014-07-25,30,1006,,,
2014-08-01,31,970,,,
2014-08-08,32,917,,,
2014-08-15,33,943,,,
2014-08-22,34,920,,,
2014-08-29,35,809,,,
2014-09-05,36,1054,,,
2014-09-12,37,999,,,
2014-09-19,38,968,,,
2014-09-26,39,983,,,
2014-10-03,40,989,,,
2014-10-10,41,983,,,
2014-10-17,42,1023,,,
2014-10-24,43,1024,,,
2014-10-31,44,950,,,
2014-11-07,45,1118,,,
2014-11-14,46,1095,,,
2014-11-21,47,992,,,
2014-11-28,48,1056,,,
2014-12-05,49,1128,,,
2014-12-12,50,1080,,,
2014-12-19,51,1215,,,
2014-12-26,52,804,,,
2015-01-02,1,1221,,,
2015-01-09,2,1712,,,
2015-01-16,3,1657,,,
2015-01-23,4,1565,,,
2015-01-30,5,1450,,,
2015-02-06,6,1360,,,
2015-02-13,7,1284,,,
2015-02-20,8,1276,,,
2015-02-27,9,1286,,,
2015-03-06,10,1232,,,
2015-03-13,11,1172,,,
2015-03-20,12,1158,,,
2015-03-27,13,1098,,,
2015-04-03,14,971,,,
2015-04-10,15,1062,,,
2015-04-17,16,1289,,,
2015-04-24,17,1050,,,
2015-05-01,18,1112,,,
2015-05-08,19,910,,,
2015-05-15,20,1099,,,
2015-05-22,21,989,,,
2015-05-29,22,838,,,
2015-06-05,23,1150,,,
2015-06-12,24,997,,,
2015-06-19,25,1020,,,
2015-06-26,26,998,,,
2015-07-03,27,977,,,
2015-07-10,28,939,,,
2015-07-17,29,952,,,
2015-07-24,30,934,,,
2015-07-31,31,941,,,
2015-08-07,32,908,,,
2015-08-14,33,1014,,,
2015-08-21,34,943,,,
2015-08-28,35,981,,,
2015-09-04,36,856,,,
2015-09-11,37,922,,,
2015-09-18,38,942,,,
2015-09-25,39,981,,,
2015-10-02,40,984,,,
2015-10-09,41,1105,,,
2015-10-16,42,1030,,,
2015-10-23,43,1022,,,
2015-10-30,44,1030,,,
2015-11-06,45,1011,,,
2015-11-13,46,1018,,,
2015-11-20,47,1043,,,
2015-11-27,48,1066,,,
2015-12-04,49,1065,,,
2015-12-11,50,1018,,,
2015-12-18,51,1086,,,
2015-12-25,52,916,,,
2016-01-01,53,653,,,
2016-01-08,1,1401,,,
2016-01-15,2,1237,,,
2016-01-22,3,1253,,,
2016-01-29,4,1236,,,
2016-02-05,5,1160,,,
2016-02-12,6,1155,,,
2016-02-19,7,1057,,,
2016-02-26,8,1180,,,
2016-03-04,9,1240,,,
2016-03-11,10,1190,,,
2016-03-18,11,1143,,,
2016-03-25,12,923,,,
2016-04-01,13,1079,,,
2016-04-08,14,1190,,,
2016-04-15,15,1217,,,
2016-04-22,16,1189,,,
2016-04-29,17,1147,,,
2016-05-06,18,954,,,
2016-05-13,19,1190,,,
2016-05-20,20,1147,,,
2016-05-27,21,1103,,,
2016-06-03,22,790,,,
2016-06-10,23,1119,,,
2016-06-17,24,1037,,,
2016-06-24,25,966,,,
2016-07-01,26,971,,,
2016-07-08,27,950,,,
2016-07-15,28,1054,,,
2016-07-22,29,988,,,
2016-07-29,30,1013,,,
2016-08-05,31,1004,,,
2016-08-12,32,1031,,,
2016-08-19,33,1005,,,
2016-08-26,34,991,,,
2016-09-02,35,877,,,
2016-09-09,36,981,,,
2016-09-16,37,998,,,
2016-09-23,38,979,,,
2016-09-30,39,879,,,
2016-10-07,40,945,,,
2016-10-14,41,1069,,,
2016-10-21,42,1020,,,
2016-10-28,43,1034,,,
2016-11-04,44,1048,,,
2016-11-11,45,1127,,,
2016-11-18,46,1184,,,
2016-11-25,47,1131,,,
2016-12-02,48,1176,,,
2016-12-09,49,1212,,,
2016-12-16,50,1107,,,
2016-12-23,51,1207,,,
2016-12-30,52,774,,,
2017-01-06,1,1187,,,
2017-01-13,2,1450,,,
2017-01-20,3,1484,,,
2017-01-27,4,1488,,,
2017-02-03,5,1384,,,
2017-02-10,6,1411,,,
2017-02-17,7,1253,,,
2017-02-24,8,1327,,,
2017-03-03,9,1328,,,
2017-03-10,10,1230,,,
2017-03-17,11,1150,,,
2017-03-24,12,1134,,,
2017-03-31,13,1109,,,
2017-04-07,14,1056,,,
2017-04-14,15,918,,,
2017-04-21,16,996,,,
2017-04-28,17,1137,,,
2017-05-05,18,956,,,
2017-05-12,19,1153,,,
2017-05-19,20,1124,,,
2017-05-26,21,1118,,,
2017-06-02,22,813,,,
2017-06-09,23,1016,,,
2017-06-16,24,990,,,
2017-06-23,25,991,,,
2017-06-30,26,1028,,,
2017-07-07,27,1010,,,
2017-07-14,28,1005,,,
2017-07-21,29,970,,,
2017-07-28,30,949,,,
2017-08-04,31,955,,,
2017-08-11,32,1005,,,
2017-08-18,33,1018,,,
2017-08-25,34,1002,,,
2017-09-01,35,853,,,
2017-09-08,36,1066,,,
2017-09-15,37,990,,,
2017-09-22,38,1096,,,
2017-09-29,39,1071,,,
2017-10-06,40,1057,,,
2017-10-13,41,1085,,,
2017-10-20,42,1056,,,
2017-10-27,43,1037,,,
2017-11-03,44,1129,,,
2017-11-10,45,1132,,,
2017-11-17,46,1091,,,
2017-11-24,47,1148,,,
2017-12-01,48,1168,,,
2017-12-08,49,1139,,,
2017-12-15,50,1226,,,
2017-12-22,51,1322,,,
2017-12-29,52,878,,,
2018-01-05,1,1404,,,
2018-01-12,2,1677,,,
2018-01-19,3,1562,,,
2018-01-26,4,1553,,,
2018-02-02,5,1468,,,
2018-02-09,6,1359,,,
2018-02-16,7,1307,,,
2018-02-23,8,1300,,,
2018-03-02,9,1088,,,
2018-03-09,10,1390,,,
2018-03-16,11,1358,,,
2018-03-23,12,1251,,,
2018-03-30,13,1074,,,
2018-04-06,14,1196,,,
2018-04-13,15,1425,,,
2018-04-20,16,1248,,,
2018-04-27,17,1209,,,
2018-05-04,18,1117,,,
2018-05-11,19,937,,,
2018-05-18,20,1125,,,
2018-05-25,21,1053,,,
2018-06-01,22,839,,,
2018-06-08,23,1157,,,
2018-06-15,24,991,,,
2018-06-22,25,985,,,
2018-06-29,26,1011,,,
2018-07-06,27,940,,,
2018-07-13,28,993,,,
2018-07-20,29,953,,,
2018-07-27,30,1008,,,
2018-08-03,31,1010,,,
2018-08-10,32,1028,,,
2018-08-17,33,991,,,
2018-08-24,34,993,,,
2018-08-31,35,877,,,
2018-09-07,36,996,,,
2018-09-14,37,999,,,
2018-09-21,38,990,,,
2018-09-28,39,957,,,
2018-10-05,40,990,,,
2018-10-12,41,1071,,,
2018-10-19,42,1045,,,
2018-10-26,43,993,,,
2018-11-02,44,1042,,,
2018-11-09,45,1094,,,
2018-11-16,46,1128,,,
2018-11-23,47,1071,,,
2018-11-30,48,1077,,,
2018-12-07,49,1106,,,
2018-12-14,50,1130,,,
2018-12-21,51,1124,,,
2018-12-28,52,695,,,
2019-01-04,1,1136,,,
2019-01-11,2,1386,,,
2019-01-18,3,1344,,,
2019-01-25,4,1291,,,
2019-02-01,5,1202,,,
2019-02-08,6,1283,,,
2019-02-15,7,1342,,,
2019-02-22,8,1218,,,
2019-03-01,9,1214,,,
2019-03-08,10,1116,,,
2019-03-15,11,1198,,,
2019-03-22,12,1066,,,
2019-03-29,13,1136,,,
2019-04-05,14,1224,,,
2019-04-12,15,1188,,,
2019-04-19,16,1014,,,
2019-04-26,17,1084,,,
2019-05-03,18,1139,,,
2019-05-10,19,943,,,
2019-05-17,20,1112,,,
2019-05-24,21,1097,,,
2019-05-31,22,842,,,
2019-06-07,23,982,,,
2019-06-14,24,1012,,,
2019-06-21,25,1011,,,
2019-06-28,26,1028,,,
2019-07-05,27,981,,,
2019-07-12,28,995,,,
2019-07-19,29,994,,,
2019-07-26,30,1024,,,
2019-08-02,31,988,,,
2019-08-09,32,1026,,,
2019-08-16,33,933,,,
2019-08-23,34,964,,,
2019-08-30,35,838,,,
2019-09-06,36,1115,,,
2019-09-13,37,1088,,,
2019-09-20,38,1049,,,
2019-09-27,39,1014,,,
2019-10-04,40,1059,,,
2019-10-11,41,1073,,,
2019-10-18,42,1083,,,
2019-10-25,43,1063,,,
2019-11-01,44,1100,,,
2019-11-08,45,1181,,,
2019-11-15,46,1090,,,
2019-11-22,47,1166,,,
2019-11-29,48,1116,,,
2019-12-06,49,1184,,,
2019-12-13,50,1176,,,
2019-12-20,51,1238,,,
2019-12-27,52,716,,,
2020-01-03,1,1162,0,0,
2020-01-10,2,1573,0,0,
2020-01-17,3,1457,0,0,
2020-01-24,4,1410,0,0,
2020-01-31,5,1286,0,0,
2020-02-07,6,1259,0,1,
2020-02-14,7,1172,0,0,
2020-02-21,8,1167,0,0,
2020-02-28,9,1115,0,1,
2020-03-06,10,1149,0,2,
2020-03-13,11,1211,0,5,
2020-03-20,12,1043,3,14,
2020-03-27,13,1182,12,149,
2020-04-03,14,1717,283,483,
2020-04-10,15,1984,564,752,
2020-04-17,16,2466,835,839,
2020-04-24,17,2299,814,678,
2020-05-01,18,1982,631,550,
2020-05-08,19,1321,373,377,
2020-05-15,20,1543,401,301,
2020-05-22,21,1397,295,255,
2020-05-29,22,1095,204,205,
2020-06-05,23,1131,188,139,
2020-06-12,24,1048,122,82,
2020-06-19,25,927,77,66,
2020-06-26,26,880,59,60,
2020-07-03,27,922,67,58,
2020-07-10,28,999,48,48,
2020-07-17,29,945,45,29,
2020-07-24,30,951,23,11,
2020-07-31,31,949,14,15,
2020-08-07,32,955,11,8,
2020-08-14,33,1006,11,13,
2020-08-21,34,1024,7,10,
2020-08-28,35,951,16,8,
2020-09-04,36,806,6,4,
2020-09-11,37,1052,8,8,
2020-09-18,38,1023,8,8,
2020-09-25,39,963,10,13,
2020-10-02,40,1054,14,15,
2020-10-09,41,1019,11,21,
2020-10-16,42,1056,33,27,
2020-10-23,43,1154,38,69,
2020-10-30,44,1089,65,93,
2020-11-06,45,1177,116,120,
2020-11-13,46,1172,132,142,
2020-11-20,47,1186,131,142,
2020-11-27,48,1159,155,175,
2020-12-04,49,1229,182,188,
2020-12-11,50,1224,201,232,
2020-12-18,51,1317,237,283,
2020-12-25,52,1198,301,438,
2021-01-01,53,997,325,388,
