week_ended,week_number,total_registrations,covid_registrations,covid_occurrences,total_occurrences
2010-01-08,1,1317,0,0,0
2010-01-15,2,1163,0,0,0
2010-01-22,3,1133,0,0,0
2010-01-29,4,1031,0,0,0
2010-02-05,5,987,0,0,0
2010-02-12,6,941,0,0,0
2010-02-19,7,960,0,0,0
2010-02-26,8,1040,0,0,0
2010-03-05,9,952,0,0,0
2010-03-12,10,984,0,0,0
2010-03-19,11,965,0,0,0
2010-03-26,12,965,0,0,0
2010-04-02,13,768,0,0,0
2010-04-09,14,937,0,0,0
2010-04-16,15,995,0,0,0
2010-04-23,16,880,0,0,0
2010-04-30,17,964,0,0,0
2010-05-07,18,870,0,0,0
2010-05-14,19,944,0,0,0
2010-05-21,20,896,0,0,0
2010-05-28,21,983,0,0,0
2010-06-04,22,827,0,0,0
2010-06-11,23,902,0,0,0
2010-06-18,24,834,0,0,0
2010-06-25,25,863,0,0,0
2010-07-02,26,851,0,0,0
2010-07-09,27,814,0,0,0
2010-07-16,28,829,0,0,0
2010-07-23,29,857,0,0,0
2010-07-30,30,858,0,0,0
2010-08-06,31,849,0,0,0
2010-08-13,32,844,0,0,0
2010-08-20,33,850,0,0,0
2010-08-27,34,895,0,0,0
2010-09-03,35,788,0,0,0
2010-09-10,36,866,0,0,0
2010-09-17,37,830,0,0,0
2010-09-24,38,907,0,0,0
2010-10-01,39,885,0,0,0
2010-10-08,40,853,0,0,0
2010-10-15,41,907,0,0,0
2010-10-22,42,1002,0,0,0
2010-10-29,43,917,0,0,0
2010-11-05,44,923,0,0,0
2010-11-12,45,916,0,0,0
2010-11-19,46,940,0,0,0
2010-11-26,47,960,0,0,0
2010-12-03,48,888,0,0,0
2010-12-10,49,1220,0,0,0
2010-12-17,50,1097,0,0,0
2010-12-24,51,1098,0,0,0
2010-12-31,52,976,0,0,0
2011-01-07,1,1351,0,0,0
2011-01-14,2,1268,0,0,0
2011-01-21,3,1095,0,0,0
2011-01-28,4,1091,0,0,0
2011-02-04,5,972,0,0,0
2011-02-11,6,997,0,0,0
2011-02-18,7,992,0,0,0
2011-02-25,8,941,0,0,0
2011-03-04,9,864,0,0,0
2011-03-11,10,970,0,0,0
2011-03-18,11,969,0,0,0
