week_ended,week_number,total_deaths
2017-03-24,12,1034
2017-03-31,13,1024
2017-04-07,14,1048
2017-04-14,15,868
2017-04-21,16,978
2017-04-28,17,1125
2017-05-05,18,902
2017-05-12,19,1059
2017-05-19,20,1079
2017-05-26,21,1088
2017-06-02,22,849
2017-06-09,23,1060
2017-06-16,24,1016
2017-06-23,25,991
2017-06-30,26,996
2017-07-07,27,985
2017-07-14,28,973
2017-07-21,29,947
2017-07-28,30,941
2017-08-04,31,911
2017-08-11,32,943
2017-08-18,33,936
2017-08-25,34,966
2017-09-01,35,780
2017-09-08,36,1017
2017-09-15,37,1001
2017-09-22,38,978
2017-09-29,39,990
2017-10-06,40,1003
2017-10-13,41,1001
2017-10-20,42,997
2017-10-27,43,1058
2017-11-03,44,1014
2017-11-10,45,1117
2017-11-17,46,1096
2017-11-24,47,1080
2017-12-01,48,1065
2017-12-08,49,1066
2017-12-15,50,1128
2017-12-22,51,1318
2017-12-29,52,844
2018-01-05,1,1313
2018-01-12,2,1468
2018-01-19,3,1544
2018-01-26,4,1433
2018-02-02,5,1441
2018-02-09,6,1335
2018-02-16,7,1285
2018-02-23,8,1251
2018-03-02,9,1308
2018-03-09,10,1390
2018-03-16,11,1343
2018-03-23,12,1263
2018-03-30,13,1019
2018-04-06,14,1054
2018-04-13,15,1228
2018-04-20,16,1170
2018-04-27,17,969
2018-05-04,18,1113
2018-05-11,19,823
2018-05-18,20,1105
2018-05-25,21,983
2018-06-01,22,859
2018-06-08,23,1065
2018-06-15,24,967
2018-06-22,25,971
2018-06-29,26,954
2018-07-06,27,998
2018-07-13,28,961
2018-07-20,29,949
2018-07-27,30,897
2018-08-03,31,961
2018-08-10,32,946
2018-08-17,33,910
2018-08-24,34,983
2018-08-31,35,793
2018-09-07,36,1005
2018-09-14,37,956
2018-09-21,38,947
2018-09-28,39,965
2018-10-05,40,1020
2018-10-12,41,980
2018-10-19,42,979
2018-10-26,43,1079
2018-11-02,44,890
2018-11-09,45,1081
2018-11-16,46,1047
2018-11-23,47,1001
2018-11-30,48,1076
2018-12-07,49,1098
2018-12-14,50,1034
2018-12-21,51,1145
2018-12-28,52,660
2019-01-04,1,1180
2019-01-11,2,1299
2019-01-18,3,1187
2019-01-25,4,1131
2019-02-01,5,1150
2019-02-08,6,1241
2019-02-15,7,1231
2019-02-22,8,1143
2019-03-01,9,1188
2019-03-08,10,1150
2019-03-15,11,1092
2019-03-22,12,1062
2019-03-29,13,930
2019-04-05,14,1050
2019-04-12,15,1084
2019-04-19,16,928
2019-04-26,17,1008
2019-05-03,18,1136
2019-05-10,19,906
2019-05-17,20,1082
2019-05-24,21,1070
2019-05-31,22,840
2019-06-07,23,1082
2019-06-14,24,950
2019-06-21,25,938
2019-06-28,26,1013
2019-07-05,27,940
2019-07-12,28,949
2019-07-19,29,962
2019-07-26,30,882
2019-08-02,31,929
2019-08-09,32,953
2019-08-16,33,969
2019-08-23,34,918
2019-08-30,35,826
2019-09-06,36,939
2019-09-13,37,1001
2019-09-20,38,974
2019-09-27,39,1027
2019-10-04,40,1008
2019-10-11,41,1027
2019-10-18,42,1093
2019-10-25,43,1019
2019-11-01,44,967
2019-11-08,45,1110
2019-11-15,46,1080
2019-11-22,47,1138
2019-11-29,48,1184
2019-12-06,49,1083
2019-12-13,50,1130
2019-12-20,51,1269
2019-12-27,52,720
2020-01-03,1,1349
2020-01-10,2,1450
2020-01-17,3,1407
2020-01-24,4,1231
2020-01-31,5,1262
2020-02-07,6,1052
2020-02-14,7,1159
2020-02-21,8,1116
2020-02-28,9,1174
2020-03-06,10,1098
2020-03-13,11,1187
2020-03-20,12,1115
2020-03-27,13,1035
2020-04-03,14,1812
2020-04-10,15,2182
2020-04-17,16,2536
2020-04-24,17,2481
2020-05-01,18,1975
2020-05-08,19,1326
2020-05-15,20,1502
2020-05-22,21,1319
2020-05-29,22,970
2020-06-05,23,1172
2020-06-12,24,1096
2020-06-19,25,973
2020-06-26,26,946
2020-07-03,27,949
2020-07-10,28,902
2020-07-17,29,956
2020-07-24,30,964
2020-07-31,31,902
2020-08-07,32,933
2020-08-14,33,923
2020-08-21,34,1028
2020-08-28,35,945
2020-09-04,36,770
2020-09-11,37,1021
2020-09-18,38,1051
2020-09-25,39,1036
2020-10-02,40,1045
2020-10-09,41,1053
2020-10-16,42,1154
2020-10-23,43,1124
2020-10-30,44,1102
2020-11-06,45,1186
2020-11-13,46,1317
2020-11-20,47,1385
2020-11-27,48,1358
2020-12-04,49,1340
2020-12-11,50,1432
2020-12-18,51,1385
2020-12-25,52,1217
2021-01-01,53,1024
