week_ended,week_number,total_registrations,covid_registrations,covid_occurrences
2010-01-08,1,1904,0,0
2010-01-15,2,1981,0,0
2010-01-22,3,1877,0,0
2010-01-29,4,1856,0,0
2010-02-05,5,1576,0,0
2010-02-12,6,1547,0,0
2010-02-19,7,1570,0,0
2010-02-26,8,1594,0,0
2010-03-05,9,1580,0,0
2010-03-12,10,1457,0,0
2010-03-19,11,1466,0,0
2010-03-26,12,1484,0,0
2010-04-02,13,1174,0,0
2010-04-09,14,1473,0,0
2010-04-16,15,1476,0,0
2010-04-23,16,1438,0,0
2010-04-30,17,1443,0,0
2010-05-07,18,1252,0,0
2010-05-14,19,1463,0,0
2010-05-21,20,1401,0,0
2010-05-28,21,1415,0,0
2010-06-04,22,1202,0,0
2010-06-11,23,1413,0,0
2010-06-18,24,1299,0,0
2010-06-25,25,1283,0,0
2010-07-02,26,1425,0,0
2010-07-09,27,1315,0,0
2010-07-16,28,1285,0,0
2010-07-23,29,1154,0,0
2010-07-30,30,1187,0,0
2010-08-06,31,1303,0,0
2010-08-13,32,1292,0,0
2010-08-20,33,1280,0,0
2010-08-27,34,1307,0,0
2010-09-03,35,1151,0,0
2010-09-10,36,1372,0,0
2010-09-17,37,1348,0,0
2010-09-24,38,1364,0,0
2010-10-01,39,1294,0,0
2010-10-08,40,1448,0,0
2010-10-15,41,1415,0,0
2010-10-22,42,1450,0,0
2010-10-29,43,1363,0,0
2010-11-05,44,1517,0,0
2010-11-12,45,1430,0,0
2010-11-19,46,1452,0,0
2010-11-26,47,1440,0,0
2010-12-03,48,1293,0,0
2010-12-10,49,1866,0,0
2010-12-17,50,1701,0,0
2010-12-24,51,1717,0,0
2010-12-31,52,1331,0,0
2011-01-07,1,1911,0,0
2011-01-14,2,2089,0,0
2011-01-21,3,1826,0,0
2011-01-28,4,1704,0,0
2011-02-04,5,1559,0,0
2011-02-11,6,1461,0,0
2011-02-18,7,1503,0,0
2011-02-25,8,1443,0,0
2011-03-04,9,1515,0,0
2011-03-11,10,1461,0,0
2011-03-18,11,1523,0,0
2011-03-25,12,1519,0,0
2011-04-01,13,1425,0,0
2011-04-08,14,1481,0,0
2011-04-15,15,1402,0,0
2011-04-22,16,1268,0,0
2011-04-29,17,1161,0,0
2011-05-06,18,1479,0,0
2011-05-13,19,1716,0,0
2011-05-20,20,1414,0,0
2011-05-27,21,1393,0,0
2011-06-03,22,1161,0,0
2011-06-10,23,1468,0,0
2011-06-17,24,1378,0,0
2011-06-24,25,1342,0,0
2011-07-01,26,1304,0,0
2011-07-08,27,1282,0,0
2011-07-15,28,1243,0,0
2011-07-22,29,1293,0,0
2011-07-29,30,1235,0,0
