date,areaName,deaths_00_04,rollingRate_00_04,rollingSum_00_04,deaths_10_14,rollingRate_10_14,rollingSum_10_14,deaths_15_19,rollingRate_15_19,rollingSum_15_19,deaths_20_24,rollingRate_20_24,rollingSum_20_24,deaths_25_29,rollingRate_25_29,rollingSum_25_29,deaths_30_34,rollingRate_30_34,rollingSum_30_34,deaths_35_39,rollingRate_35_39,rollingSum_35_39,deaths_40_44,rollingRate_40_44,rollingSum_40_44,deaths_45_49,rollingRate_45_49,rollingSum_45_49,deaths_50_54,rollingRate_50_54,rollingSum_50_54,deaths_55_59,rollingRate_55_59,rollingSum_55_59,deaths_05_09,rollingRate_05_09,rollingSum_05_09,deaths_60_64,rollingRate_60_64,rollingSum_60_64,deaths_65_69,rollingRate_65_69,rollingSum_65_69,deaths_70_74,rollingRate_70_74,rollingSum_70_74,deaths_75_79,rollingRate_75_79,rollingSum_75_79,deaths_80_84,rollingRate_80_84,rollingSum_80_84,deaths_85_89,rollingRate_85_89,rollingSum_85_89,deaths_90+,rollingRate_90+,rollingSum_90+,deaths_60+,rollingRate_60+,rollingSum_60+,deaths_00_59,rollingRate_00_59,rollingSum_00_59
2020-12-26,London,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.1,1,0,0.1,1,0,0.0,0,0,0.0,0,1,0.5,3,0,0.7000000000000001,4,3,2.2,11,0,0.0,0,3,4.6,18,4,8.6,27,4,18.6,51,11,35.2,68,13,39.8,60,11,74.9,70,8,102.7,59,54,24.0,353,4,0.30000000000000004,20
2020-12-25,London,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,2,1,0.1,1,0,0.0,0,0,0.0,0,0,0.30000000000000004,2,0,0.9,5,3,2.0,10,0,0.0,0,1,3.8,15,5,8.3,26,10,18.3,50,11,32.1,62,8,36.5,55,8,69.5,65,11,111.4,64,54,22.9,337,4,0.30000000000000004,20
2020-12-24,London,0,0.2,1,0,0.0,0,0,0.0,0,0,0.0,0,1,0.30000000000000004,2,0,0.0,0,0,0.0,0,0,0.2,1,0,0.30000000000000004,2,1,1.1,6,0,1.4,7,0,0.0,0,3,3.8,15,3,6.7,21,9,15.7,43,9,29.0,56,5,35.8,54,10,69.5,65,9,109.6,63,48,21.5,317,2,0.30000000000000004,19
2020-12-23,London,0,0.30000000000000004,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.1,1,0,0.0,0,0,0.0,0,0,0.30000000000000004,2,0,0.7000000000000001,4,2,0.9,5,0,1.8,9,0,0.0,0,1,3.3,13,6,8.3,26,6,13.9,38,13,25.9,50,7,42.4,64,6,72.8,68,9,111.4,64,48,21.9,323,2,0.30000000000000004,23
2020-12-22,London,0,0.30000000000000004,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.1,1,0,0.0,0,0,0.0,0,0,0.30000000000000004,2,0,0.7000000000000001,4,0,0.5,3,1,1.8,9,0,0.0,0,5,3.6,14,4,8.0,25,7,12.4,34,11,22.2,43,10,39.8,60,13,71.7,67,7,109.6,63,57,20.8,306,1,0.30000000000000004,21
2020-12-21,London,0,0.30000000000000004,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.1,1,0,0.0,0,0,0.1,1,0,0.30000000000000004,2,1,0.7000000000000001,4,0,0.5,3,3,1.6,8,0,0.0,0,3,3.1,12,3,8.6,27,6,12.8,35,6,20.2,39,8,37.8,57,14,65.3,61,7,104.4,60,47,19.8,291,4,0.30000000000000004,21
2020-12-20,London,0,0.30000000000000004,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.1,1,0,0.0,0,0,0.1,1,0,0.30000000000000004,2,1,0.5,3,1,0.5,3,1,1.8,9,0,0.0,0,2,2.8,11,2,8.6,27,9,12.8,35,7,20.2,39,9,36.5,55,8,54.6,51,8,104.4,60,45,18.9,278,3,0.30000000000000004,21
2020-12-19,London,0,0.30000000000000004,2,0,0.0,0,0,0.0,0,0,0.0,0,1,0.1,1,0,0.0,0,0,0.1,1,0,0.30000000000000004,2,0,0.30000000000000004,2,1,0.4,2,2,1.8,9,0,0.0,0,0,2.3,9,3,8.9,28,3,9.5,26,5,18.1,35,8,31.8,48,6,54.6,51,13,109.6,63,38,17.7,260,4,0.30000000000000004,19
2020-12-18,London,1,0.5,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.1,1,1,0.5,3,0,0.5,3,1,0.2,1,0,1.6,8,0,0.0,0,1,2.3,9,0,8.6,27,3,9.5,26,5,17.1,33,7,31.8,48,8,61.0,57,10,106.2,61,34,17.7,261,3,0.30000000000000004,19
2020-12-17,London,1,0.30000000000000004,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.1,1,1,0.30000000000000004,2,2,0.5,3,0,0.0,0,2,2.0,10,0,0.0,0,1,2.0,8,8,8.9,28,4,8.4,23,3,18.1,35,15,29.8,45,13,63.1,59,10,94.0,54,54,17.1,252,6,0.2,18
