date,areaName,deaths_00_04,rollingRate_00_04,rollingSum_00_04,deaths_10_14,rollingRate_10_14,rollingSum_10_14,deaths_15_19,rollingRate_15_19,rollingSum_15_19,deaths_20_24,rollingRate_20_24,rollingSum_20_24,deaths_25_29,rollingRate_25_29,rollingSum_25_29,deaths_30_34,rollingRate_30_34,rollingSum_30_34,deaths_35_39,rollingRate_35_39,rollingSum_35_39,deaths_40_44,rollingRate_40_44,rollingSum_40_44,deaths_45_49,rollingRate_45_49,rollingSum_45_49,deaths_50_54,rollingRate_50_54,rollingSum_50_54,deaths_55_59,rollingRate_55_59,rollingSum_55_59,deaths_05_09,rollingRate_05_09,rollingSum_05_09,deaths_60_64,rollingRate_60_64,rollingSum_60_64,deaths_65_69,rollingRate_65_69,rollingSum_65_69,deaths_70_74,rollingRate_70_74,rollingSum_70_74,deaths_75_79,rollingRate_75_79,rollingSum_75_79,deaths_80_84,rollingRate_80_84,rollingSum_80_84,deaths_85_89,rollingRate_85_89,rollingSum_85_89,deaths_90+,rollingRate_90+,rollingSum_90+,deaths_60+,rollingRate_60+,rollingSum_60+,deaths_00_59,rollingRate_00_59,rollingSum_00_59
2020-12-28,North West,0,0.2,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.2,1,0,0.0,0,0,0.6000000000000001,3,0,0.2,1,0,0.4,2,1,1.4,7,2,2.6,13,0,0.0,0,1,2.4,10,1,6.1,23,11,11.3,42,10,23.8,62,13,46.8,89,11,64.8,72,13,100.2,63,60,20.1,361,3,0.5,28
2020-12-27,North West,0,0.2,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.2,1,0,0.0,0,0,0.6000000000000001,3,0,0.2,1,0,0.4,2,0,1.2,6,0,2.4,12,0,0.0,0,0,2.4,10,2,7.9,30,8,8.6,32,11,23.8,62,15,45.7,87,5,64.8,72,10,98.6,62,51,19.8,355,0,0.5,26
2020-12-26,North West,0,0.5,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.2,1,0,0.0,0,1,0.6000000000000001,3,0,0.5,2,1,0.6000000000000001,3,1,1.4,7,3,2.6,13,0,0.0,0,1,3.1,13,9,7.7,29,2,7.8,29,10,21.5,56,11,39.9,76,8,68.4,76,5,108.2,68,46,19.3,347,6,0.6000000000000001,31
2020-12-25,North West,0,0.7000000000000001,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.2,1,0,0.0,0,0,0.4,2,0,0.7000000000000001,3,0,0.4,2,2,1.4,7,2,2.2,11,0,0.0,0,3,3.3,14,2,6.6,25,5,9.1,34,9,20.3,53,14,36.8,70,11,68.4,76,8,122.5,77,52,19.4,349,4,0.5,29
2020-12-24,North West,0,0.7000000000000001,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.2,1,0,0.0,0,0,0.4,2,0,0.7000000000000001,3,0,0.6000000000000001,3,2,1.2,6,3,2.0,10,0,0.0,0,3,3.1,13,2,6.6,25,6,9.4,35,7,18.8,49,12,35.2,67,16,70.2,78,12,125.7,79,58,19.3,346,5,0.5,28
2020-12-23,North West,1,0.7000000000000001,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.2,1,0,0.0,0,1,0.4,2,1,0.7000000000000001,3,0,0.6000000000000001,3,1,1.2,6,1,1.4,7,0,0.0,0,1,2.6,11,4,6.6,25,5,9.4,35,9,18.4,48,12,32.6,62,11,60.3,67,5,116.1,73,47,17.9,321,5,0.5,25
2020-12-22,North West,0,0.5,2,0,0.0,0,0,0.0,0,0,0.0,0,1,0.2,1,0,0.0,0,1,0.2,1,0,0.5,2,1,0.6000000000000001,3,0,1.0,5,2,2.2,11,0,0.0,0,1,2.4,10,3,6.4,24,5,8.6,32,6,16.9,44,12,34.7,66,10,59.4,66,10,119.3,75,47,17.7,317,5,0.5,25
2020-12-21,North West,0,0.5,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.5,2,0,0.4,2,0,1.0,5,1,2.0,10,0,0.0,0,1,2.6,11,8,6.9,26,1,8.9,33,10,16.1,42,11,35.2,67,11,58.5,65,12,112.9,71,54,17.6,315,1,0.4,21
2020-12-20,North West,1,0.5,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.5,2,1,0.6000000000000001,3,1,1.0,5,1,2.4,12,0,0.0,0,3,3.1,13,1,5.8,22,5,10.2,38,5,15.7,41,4,33.6,64,9,59.4,66,16,112.9,71,43,17.6,315,5,0.4,24
2020-12-19,North West,1,0.2,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.2,1,0,0.4,2,1,0.8,4,1,2.2,11,0,0.0,0,2,2.6,11,5,7.1,27,7,9.9,37,7,15.7,41,5,36.2,69,8,63.0,70,14,105.0,66,48,17.9,321,4,0.30000000000000004,19
