date,cc_open,cc_occupied
2018-12-03,462,392
2018-12-04,460,397
2018-12-05,461,392
2018-12-06,459,385
2018-12-07,458,372
2018-12-08,456,368
2018-12-09,457,373
2018-12-10,460,385
2018-12-11,463,394
2018-12-12,462,393
2018-12-13,460,390
2018-12-14,458,368
2018-12-15,449,364
2018-12-16,459,374
2018-12-17,460,384
2018-12-18,463,403
2018-12-19,458,396
2018-12-20,453,379
2018-12-21,449,369
2018-12-22,445,351
2018-12-23,439,338
2018-12-24,448,330
2018-12-25,452,338
2018-12-26,443,332
2018-12-27,450,355
2018-12-28,448,373
2018-12-29,450,360
2018-12-30,452,364
2018-12-31,449,372
2019-01-01,443,357
2019-01-02,445,385
2019-01-03,447,397
2019-01-04,458,392
2019-01-05,446,372
2019-01-06,445,374
2019-01-07,445,389
2019-01-08,457,402
2019-01-09,457,404
2019-01-10,451,399
2019-01-11,451,391
2019-01-12,449,379
2019-01-13,445,376
2019-01-14,450,395
2019-01-15,454,409
2019-01-16,457,410
2019-01-17,454,395
2019-01-18,446,384
2019-01-19,447,377
2019-01-20,450,382
2019-01-21,452,388
2019-01-22,449,388
2019-01-23,447,386
2019-01-24,447,384
2019-01-25,449,385
2019-01-26,440,380
2019-01-27,440,380
2019-01-28,451,395
2019-01-29,447,393
2019-01-30,450,400
2019-01-31,450,399
2019-02-01,444,404
2019-02-02,445,385
2019-02-03,441,391
2019-02-04,447,406
2019-02-05,448,411
2019-02-06,448,412
2019-02-07,445,401
2019-02-08,446,407
2019-02-09,441,392
2019-02-10,445,394
2019-02-11,453,415
2019-02-12,448,398
2019-02-13,451,400
2019-02-14,449,389
2019-02-15,449,394
2019-02-16,443,375
2019-02-17,439,372
2019-02-18,446,385
2019-02-19,448,389
2019-02-20,444,386
2019-02-21,446,380
2019-02-22,444,379
2019-02-23,446,357
2019-02-24,434,359
2019-02-25,443,389
2019-02-26,445,385
2019-02-27,447,386
2019-02-28,442,387
2019-03-01,437,368
2019-03-02,438,372
2019-03-03,446,390
