date,cc_open,cc_occupied
2018-12-03,313,246
2018-12-04,316,252
2018-12-05,317,258
2018-12-06,316,252
2018-12-07,314,242
2018-12-08,315,244
2018-12-09,317,256
2018-12-10,316,258
2018-12-11,315,258
2018-12-12,315,260
2018-12-13,314,251
2018-12-14,312,246
2018-12-15,304,229
2018-12-16,314,253
2018-12-17,315,248
2018-12-18,316,264
2018-12-19,316,258
2018-12-20,314,251
2018-12-21,310,234
2018-12-22,311,224
2018-12-23,311,219
2018-12-24,310,217
2018-12-25,310,200
2018-12-26,310,200
2018-12-27,312,218
2018-12-28,312,227
2018-12-29,312,223
2018-12-30,313,232
2018-12-31,314,235
2019-01-01,317,247
2019-01-02,315,243
2019-01-03,311,250
2019-01-04,314,250
2019-01-05,315,238
2019-01-06,314,249
2019-01-07,315,255
2019-01-08,315,261
2019-01-09,317,259
2019-01-10,317,263
2019-01-11,317,257
2019-01-12,316,266
2019-01-13,313,253
2019-01-14,316,268
2019-01-15,317,275
2019-01-16,317,272
2019-01-17,316,271
2019-01-18,318,249
2019-01-19,311,252
2019-01-20,314,256
2019-01-21,313,266
2019-01-22,313,260
2019-01-23,314,262
2019-01-24,319,272
2019-01-25,314,261
2019-01-26,311,248
2019-01-27,312,264
2019-01-28,317,269
2019-01-29,316,279
2019-01-30,317,289
2019-01-31,315,279
2019-02-01,314,269
2019-02-02,313,253
2019-02-03,315,261
2019-02-04,313,260
2019-02-05,315,251
2019-02-06,317,272
2019-02-07,315,274
2019-02-08,317,273
2019-02-09,315,264
2019-02-10,314,264
2019-02-11,312,259
2019-02-12,312,270
2019-02-13,316,268
2019-02-14,313,272
2019-02-15,313,252
2019-02-16,313,260
2019-02-17,311,254
2019-02-18,313,262
2019-02-19,313,263
2019-02-20,312,267
2019-02-21,314,260
2019-02-22,313,255
2019-02-23,313,250
2019-02-24,313,246
2019-02-25,312,254
2019-02-26,315,261
2019-02-27,308,258
2019-02-28,316,262
2019-03-01,314,252
2019-03-02,316,250
2019-03-03,317,236
