date,cc_open,cc_occupied
2018-12-03,672,514
2018-12-04,671,534
2018-12-05,673,548
2018-12-06,672,535
2018-12-07,663,523
2018-12-08,650,500
2018-12-09,657,489
2018-12-10,674,535
2018-12-11,663,514
2018-12-12,672,524
2018-12-13,671,523
2018-12-14,660,488
2018-12-15,645,464
2018-12-16,654,447
2018-12-17,663,501
2018-12-18,667,513
2018-12-19,667,515
2018-12-20,672,521
2018-12-21,638,481
2018-12-22,650,488
2018-12-23,661,474
2018-12-24,648,464
2018-12-25,649,454
2018-12-26,669,466
2018-12-27,670,495
2018-12-28,663,479
2018-12-29,652,468
2018-12-30,659,485
2018-12-31,659,539
2019-01-01,668,516
2019-01-02,670,551
2019-01-03,673,559
2019-01-04,662,544
2019-01-05,653,529
2019-01-06,652,503
2019-01-07,657,555
2019-01-08,672,570
2019-01-09,660,540
2019-01-10,675,558
2019-01-11,597,492
2019-01-12,654,523
2019-01-13,661,512
2019-01-14,670,543
2019-01-15,674,567
2019-01-16,672,572
2019-01-17,672,555
2019-01-18,662,556
2019-01-19,651,514
2019-01-20,655,503
2019-01-21,670,548
2019-01-22,671,564
2019-01-23,658,550
2019-01-24,673,565
2019-01-25,663,540
2019-01-26,650,512
2019-01-27,659,497
2019-01-28,670,548
2019-01-29,669,552
2019-01-30,671,556
2019-01-31,674,566
2019-02-01,666,559
2019-02-02,656,520
2019-02-03,662,504
2019-02-04,668,542
2019-02-05,670,544
2019-02-06,670,544
2019-02-07,672,543
2019-02-08,660,542
2019-02-09,651,496
2019-02-10,661,507
2019-02-11,672,531
2019-02-12,672,547
2019-02-13,671,543
2019-02-14,674,532
2019-02-15,664,540
2019-02-16,649,495
2019-02-17,658,496
2019-02-18,666,521
2019-02-19,670,552
2019-02-20,670,548
2019-02-21,668,526
2019-02-22,663,511
2019-02-23,644,496
2019-02-24,657,485
2019-02-25,668,509
2019-02-26,666,523
2019-02-27,671,518
2019-02-28,673,522
2019-03-01,658,503
2019-03-02,649,474
2019-03-03,658,468
