date,areaName,deathsRegistered
2020-01-03,Welwyn Hatfield,0
2020-01-10,Welwyn Hatfield,0
2020-01-17,Welwyn Hatfield,0
2020-01-24,Welwyn Hatfield,0
2020-01-31,Welwyn Hatfield,0
2020-02-07,Welwyn Hatfield,0
2020-02-14,Welwyn Hatfield,0
2020-02-21,Welwyn Hatfield,0
2020-02-28,Welwyn Hatfield,0
2020-03-06,Welwyn Hatfield,0
2020-03-13,Welwyn Hatfield,0
2020-03-20,Welwyn Hatfield,0
2020-03-27,Welwyn Hatfield,0
2020-04-03,Welwyn Hatfield,16
2020-04-10,Welwyn Hatfield,18
2020-04-17,Welwyn Hatfield,10
2020-04-24,Welwyn Hatfield,12
2020-05-01,Welwyn Hatfield,8
2020-05-08,Welwyn Hatfield,12
2020-05-15,Welwyn Hatfield,8
2020-05-22,Welwyn Hatfield,9
2020-05-29,Welwyn Hatfield,5
2020-06-05,Welwyn Hatfield,7
2020-06-12,Welwyn Hatfield,2
2020-06-19,Welwyn Hatfield,1
2020-06-26,Welwyn Hatfield,0
2020-07-03,Welwyn Hatfield,3
2020-07-10,Welwyn Hatfield,1
2020-07-17,Welwyn Hatfield,0
2020-07-24,Welwyn Hatfield,0
2020-07-31,Welwyn Hatfield,1
2020-08-07,Welwyn Hatfield,0
2020-08-14,Welwyn Hatfield,0
2020-08-21,Welwyn Hatfield,0
2020-08-28,Welwyn Hatfield,0
2020-09-04,Welwyn Hatfield,0
2020-09-11,Welwyn Hatfield,0
2020-09-18,Welwyn Hatfield,0
2020-09-25,Welwyn Hatfield,0
2020-10-02,Welwyn Hatfield,0
2020-10-09,Welwyn Hatfield,0
2020-10-16,Welwyn Hatfield,1
2020-10-23,Welwyn Hatfield,0
2020-10-30,Welwyn Hatfield,0
2020-11-06,Welwyn Hatfield,0
2020-11-13,Welwyn Hatfield,0
2020-11-20,Welwyn Hatfield,1
2020-11-27,Welwyn Hatfield,3
2020-12-04,Welwyn Hatfield,2
2020-12-11,Welwyn Hatfield,0
2020-12-18,Welwyn Hatfield,0
2020-12-25,Welwyn Hatfield,5
2021-01-01,Welwyn Hatfield,5
2021-01-08,Welwyn Hatfield,14
2021-01-15,Welwyn Hatfield,17
2021-01-22,Welwyn Hatfield,25
2021-01-29,Welwyn Hatfield,32
2021-02-05,Welwyn Hatfield,20
2021-02-12,Welwyn Hatfield,12
2021-02-19,Welwyn Hatfield,7
2021-02-26,Welwyn Hatfield,7
2021-03-05,Welwyn Hatfield,2
