date,areaName,deathsRegistered
2020-01-03,Derbyshire Dales,0
2020-01-10,Derbyshire Dales,0
2020-01-17,Derbyshire Dales,0
2020-01-24,Derbyshire Dales,0
2020-01-31,Derbyshire Dales,0
2020-02-07,Derbyshire Dales,0
2020-02-14,Derbyshire Dales,0
2020-02-21,Derbyshire Dales,0
2020-02-28,Derbyshire Dales,0
2020-03-06,Derbyshire Dales,0
2020-03-13,Derbyshire Dales,0
2020-03-20,Derbyshire Dales,0
2020-03-27,Derbyshire Dales,1
2020-04-03,Derbyshire Dales,5
2020-04-10,Derbyshire Dales,3
2020-04-17,Derbyshire Dales,12
2020-04-24,Derbyshire Dales,14
2020-05-01,Derbyshire Dales,11
2020-05-08,Derbyshire Dales,6
2020-05-15,Derbyshire Dales,2
2020-05-22,Derbyshire Dales,4
2020-05-29,Derbyshire Dales,7
2020-06-05,Derbyshire Dales,4
2020-06-12,Derbyshire Dales,4
2020-06-19,Derbyshire Dales,2
2020-06-26,Derbyshire Dales,2
2020-07-03,Derbyshire Dales,0
2020-07-10,Derbyshire Dales,1
2020-07-17,Derbyshire Dales,0
2020-07-24,Derbyshire Dales,0
2020-07-31,Derbyshire Dales,1
2020-08-07,Derbyshire Dales,0
2020-08-14,Derbyshire Dales,0
2020-08-21,Derbyshire Dales,4
2020-08-28,Derbyshire Dales,0
2020-09-04,Derbyshire Dales,0
2020-09-11,Derbyshire Dales,0
2020-09-18,Derbyshire Dales,0
2020-09-25,Derbyshire Dales,0
2020-10-02,Derbyshire Dales,0
2020-10-09,Derbyshire Dales,0
2020-10-16,Derbyshire Dales,0
2020-10-23,Derbyshire Dales,1
2020-10-30,Derbyshire Dales,3
2020-11-06,Derbyshire Dales,3
2020-11-13,Derbyshire Dales,3
2020-11-20,Derbyshire Dales,2
2020-11-27,Derbyshire Dales,4
2020-12-04,Derbyshire Dales,1
2020-12-11,Derbyshire Dales,1
2020-12-18,Derbyshire Dales,1
2020-12-25,Derbyshire Dales,6
2021-01-01,Derbyshire Dales,3
2021-01-08,Derbyshire Dales,2
2021-01-15,Derbyshire Dales,6
2021-01-22,Derbyshire Dales,8
2021-01-29,Derbyshire Dales,14
2021-02-05,Derbyshire Dales,16
2021-02-12,Derbyshire Dales,15
2021-02-19,Derbyshire Dales,7
2021-02-26,Derbyshire Dales,4
2021-03-05,Derbyshire Dales,4
2021-03-12,Derbyshire Dales,2
2021-03-19,Derbyshire Dales,1
