date,areaName,deathsRegistered
2021-01-15,United Kingdom,7766
2021-01-08,United Kingdom,6593
2021-01-01,United Kingdom,3417
2020-12-25,United Kingdom,3197
2020-12-18,United Kingdom,3275
2020-12-11,United Kingdom,3066
2020-12-04,United Kingdom,3160
2020-11-27,United Kingdom,3371
2020-11-20,United Kingdom,3040
2020-11-13,United Kingdom,2839
2020-11-06,United Kingdom,2226
2020-10-30,United Kingdom,1598
2020-10-23,United Kingdom,1126
2020-10-16,United Kingdom,762
2020-10-09,United Kingdom,474
2020-10-02,United Kingdom,343
2020-09-25,United Kingdom,234
2020-09-18,United Kingdom,158
2020-09-11,United Kingdom,110
2020-09-04,United Kingdom,83
2020-08-28,United Kingdom,111
2020-08-21,United Kingdom,149
2020-08-14,United Kingdom,146
2020-08-07,United Kingdom,162
2020-07-31,United Kingdom,200
2020-07-24,United Kingdom,231
2020-07-17,United Kingdom,303
2020-07-10,United Kingdom,388
2020-07-03,United Kingdom,562
2020-06-26,United Kingdom,652
2020-06-19,United Kingdom,849
2020-06-12,United Kingdom,1203
2020-06-05,United Kingdom,1697
2020-05-29,United Kingdom,2000
2020-05-22,United Kingdom,2872
2020-05-15,United Kingdom,4214
2020-05-08,United Kingdom,4426
2020-05-01,United Kingdom,6680
2020-04-24,United Kingdom,9009
2020-04-17,United Kingdom,9495
2020-04-10,United Kingdom,6888
2020-04-03,United Kingdom,3801
2020-03-27,United Kingdom,607
2020-03-20,United Kingdom,114
2020-03-13,United Kingdom,5
2020-03-06,United Kingdom,0
2020-02-28,United Kingdom,0
2020-02-21,United Kingdom,0
2020-02-14,United Kingdom,0
2020-02-07,United Kingdom,0
2020-01-31,United Kingdom,0
2020-01-24,United Kingdom,0
2020-01-17,United Kingdom,0
2020-01-10,United Kingdom,0
2020-01-03,United Kingdom,0
