date,areaName,deaths,deathsRollingRate,deathsReported
2020-05-14,North East Derbyshire,4,13.800000000000000711,0
2020-05-15,North East Derbyshire,0,10.800000000000000711,0
2020-05-16,North East Derbyshire,2,11.800000000000000711,0
2020-05-17,North East Derbyshire,0,10.800000000000000711,0
2020-05-18,North East Derbyshire,0,9.9000000000000003553,0
2020-05-19,North East Derbyshire,0,6.9000000000000003553,0
2020-05-20,North East Derbyshire,1,6.9000000000000003553,0
2020-05-21,North East Derbyshire,2,4.9000000000000003553,0
2020-05-22,North East Derbyshire,0,4.9000000000000003553,0
2020-05-23,North East Derbyshire,2,4.9000000000000003553,0
2020-05-24,North East Derbyshire,1,5.9000000000000003553,0
2020-05-25,North East Derbyshire,0,5.9000000000000003553,0
2020-05-26,North East Derbyshire,1,6.9000000000000003553,0
2020-05-27,North East Derbyshire,2,7.9000000000000003553,0
2020-05-28,North East Derbyshire,2,7.9000000000000003553,0
2020-05-29,North East Derbyshire,0,7.9000000000000003553,0
2020-05-30,North East Derbyshire,1,6.9000000000000003553,0
2020-05-31,North East Derbyshire,0,5.9000000000000003553,0
2020-06-01,North East Derbyshire,0,5.9000000000000003553,0
2020-06-02,North East Derbyshire,1,5.9000000000000003553,0
2020-06-03,North East Derbyshire,1,4.9000000000000003553,0
2020-06-04,North East Derbyshire,0,3,0
2020-06-05,North East Derbyshire,0,3,0
2020-06-06,North East Derbyshire,2,3.8999999999999999112,0
2020-06-07,North East Derbyshire,0,3.8999999999999999112,0
2020-06-08,North East Derbyshire,0,3.8999999999999999112,0
2020-06-09,North East Derbyshire,0,3,0
2020-06-10,North East Derbyshire,0,2,0
2020-06-11,North East Derbyshire,0,2,0
2020-06-12,North East Derbyshire,0,2,0
2020-06-13,North East Derbyshire,0,0,0
2020-06-14,North East Derbyshire,0,0,0
2020-06-15,North East Derbyshire,0,0,0
2020-06-16,North East Derbyshire,0,0,0
2020-06-17,North East Derbyshire,0,0,0
2020-06-18,North East Derbyshire,0,0,0
2020-06-19,North East Derbyshire,0,0,0
2020-06-20,North East Derbyshire,0,0,0
2020-06-21,North East Derbyshire,0,0,0
2020-06-22,North East Derbyshire,0,0,0
2020-06-23,North East Derbyshire,0,0,0
2020-06-24,North East Derbyshire,0,0,0
2020-06-25,North East Derbyshire,0,0,0
2020-06-26,North East Derbyshire,0,0,0
2020-06-27,North East Derbyshire,0,0,0
2020-06-28,North East Derbyshire,0,0,0
2020-06-29,North East Derbyshire,0,0,0
2020-06-30,North East Derbyshire,0,0,0
2020-07-01,North East Derbyshire,0,0,0
2020-07-02,North East Derbyshire,0,0,0
2020-07-03,North East Derbyshire,0,0,0
2020-07-04,North East Derbyshire,0,0,0
2020-07-05,North East Derbyshire,0,0,0
2020-07-06,North East Derbyshire,0,0,0
2020-07-07,North East Derbyshire,0,0,0
2020-07-08,North East Derbyshire,1,1,0
2020-07-09,North East Derbyshire,1,2,0
2020-07-10,North East Derbyshire,0,2,0
2020-07-11,North East Derbyshire,0,2,0
2020-07-12,North East Derbyshire,0,2,0
2020-07-13,North East Derbyshire,0,2,0
2020-07-14,North East Derbyshire,0,2,0
2020-07-15,North East Derbyshire,0,1,0
2020-07-16,North East Derbyshire,1,1,0
2020-07-17,North East Derbyshire,0,1,0
2020-07-18,North East Derbyshire,0,1,0
2020-07-19,North East Derbyshire,0,1,0
2020-07-20,North East Derbyshire,0,1,0
2020-07-21,North East Derbyshire,0,1,0
2020-07-22,North East Derbyshire,0,1,0
2020-07-23,North East Derbyshire,0,0,0
2020-07-24,North East Derbyshire,0,0,0
2020-07-25,North East Derbyshire,0,0,0
2020-07-26,North East Derbyshire,0,0,0
2020-07-27,North East Derbyshire,0,0,0
2020-07-28,North East Derbyshire,0,0,0
2020-07-29,North East Derbyshire,0,0,0
2020-07-30,North East Derbyshire,0,0,0
2020-07-31,North East Derbyshire,0,0,0
2020-08-01,North East Derbyshire,0,0,0
2020-08-02,North East Derbyshire,0,0,0
2020-08-03,North East Derbyshire,0,0,0
2020-08-04,North East Derbyshire,0,0,0
2020-08-05,North East Derbyshire,0,0,0
2020-08-06,North East Derbyshire,0,0,0
2020-08-07,North East Derbyshire,0,0,0
2020-08-08,North East Derbyshire,0,0,0
2020-08-09,North East Derbyshire,0,0,0
2020-08-10,North East Derbyshire,0,0,0
2020-08-11,North East Derbyshire,0,0,0
2020-08-12,North East Derbyshire,0,0,0
2020-08-13,North East Derbyshire,0,0,0
2020-08-14,North East Derbyshire,0,0,0
2020-08-15,North East Derbyshire,0,0,0
2020-08-16,North East Derbyshire,0,0,0
2020-08-17,North East Derbyshire,0,0,0
2020-08-18,North East Derbyshire,0,0,0
2020-08-19,North East Derbyshire,0,0,0
2020-08-20,North East Derbyshire,0,0,0
2020-08-21,North East Derbyshire,0,0,0
2020-08-22,North East Derbyshire,0,0,0
2020-08-23,North East Derbyshire,0,0,0
2020-08-24,North East Derbyshire,0,0,0
2020-08-25,North East Derbyshire,0,0,0
2020-08-26,North East Derbyshire,0,0,0
2020-08-27,North East Derbyshire,0,0,0
2020-08-28,North East Derbyshire,0,0,0
2020-08-29,North East Derbyshire,0,0,0
2020-08-30,North East Derbyshire,0,0,0
2020-08-31,North East Derbyshire,0,0,0
2020-09-01,North East Derbyshire,0,0,0
2020-09-02,North East Derbyshire,0,0,0
2020-09-03,North East Derbyshire,0,0,0
2020-09-04,North East Derbyshire,0,0,0
2020-09-05,North East Derbyshire,0,0,0
2020-09-06,North East Derbyshire,0,0,0
2020-09-07,North East Derbyshire,0,0,0
2020-09-08,North East Derbyshire,0,0,0
2020-09-09,North East Derbyshire,0,0,0
2020-09-10,North East Derbyshire,0,0,0
2020-09-11,North East Derbyshire,0,0,0
2020-09-12,North East Derbyshire,0,0,0
2020-09-13,North East Derbyshire,0,0,0
2020-09-14,North East Derbyshire,0,0,0
2020-09-15,North East Derbyshire,0,0,0
2020-09-16,North East Derbyshire,0,0,0
2020-09-17,North East Derbyshire,0,0,0
2020-09-18,North East Derbyshire,0,0,0
2020-09-19,North East Derbyshire,0,0,0
2020-09-20,North East Derbyshire,0,0,0
2020-09-21,North East Derbyshire,0,0,0
2020-09-22,North East Derbyshire,0,0,0
2020-09-23,North East Derbyshire,0,0,0
2020-09-24,North East Derbyshire,0,0,0
2020-09-25,North East Derbyshire,0,0,0
2020-09-26,North East Derbyshire,0,0,0
2020-09-27,North East Derbyshire,0,0,0
2020-09-28,North East Derbyshire,0,0,0
2020-09-29,North East Derbyshire,0,0,0
2020-09-30,North East Derbyshire,0,0,0
2020-10-01,North East Derbyshire,0,0,0
2020-10-02,North East Derbyshire,0,0,0
2020-10-03,North East Derbyshire,0,0,0
2020-10-04,North East Derbyshire,0,0,0
2020-10-05,North East Derbyshire,0,0,0
2020-10-06,North East Derbyshire,0,0,0
2020-10-07,North East Derbyshire,0,0,0
2020-10-08,North East Derbyshire,0,0,0
2020-10-09,North East Derbyshire,1,1,0
2020-10-10,North East Derbyshire,0,1,0
2020-10-11,North East Derbyshire,2,3,1
2020-10-12,North East Derbyshire,0,3,0
2020-10-13,North East Derbyshire,0,3,2
2020-10-14,North East Derbyshire,0,3,1
2020-10-15,North East Derbyshire,0,3,0
2020-10-16,North East Derbyshire,0,2,0
2020-10-17,North East Derbyshire,0,2,0
2020-10-18,North East Derbyshire,0,0,0
2020-10-19,North East Derbyshire,0,0,0
2020-10-20,North East Derbyshire,0,0,0
2020-10-21,North East Derbyshire,0,0,0
2020-10-22,North East Derbyshire,0,0,0
2020-10-23,North East Derbyshire,1,1,0
2020-10-24,North East Derbyshire,1,2,0
2020-10-25,North East Derbyshire,0,2,0
2020-10-26,North East Derbyshire,2,3.8999999999999999112,0
2020-10-27,North East Derbyshire,0,3.8999999999999999112,3
2020-10-28,North East Derbyshire,1,4.9000000000000003553,1
2020-10-29,North East Derbyshire,0,4.9000000000000003553,0
2020-10-30,North East Derbyshire,0,3.8999999999999999112,0
2020-10-31,North East Derbyshire,0,3,0
2020-11-01,North East Derbyshire,0,3,0
2020-11-02,North East Derbyshire,2,3,0
2020-11-03,North East Derbyshire,0,3,2
2020-11-04,North East Derbyshire,1,3,0
2020-11-05,North East Derbyshire,2,4.9000000000000003553,1
2020-11-06,North East Derbyshire,1,5.9000000000000003553,3
2020-11-07,North East Derbyshire,0,5.9000000000000003553,1
2020-11-08,North East Derbyshire,0,5.9000000000000003553,0
2020-11-09,North East Derbyshire,2,5.9000000000000003553,0
2020-11-10,North East Derbyshire,1,6.9000000000000003553,1
2020-11-11,North East Derbyshire,0,5.9000000000000003553,1
2020-11-12,North East Derbyshire,1,4.9000000000000003553,1
2020-11-13,North East Derbyshire,0,3.8999999999999999112,1
2020-11-14,North East Derbyshire,1,4.9000000000000003553,1
2020-11-15,North East Derbyshire,0,4.9000000000000003553,0
2020-11-16,North East Derbyshire,2,4.9000000000000003553,1
2020-11-17,North East Derbyshire,0,3.8999999999999999112,2
2020-11-18,North East Derbyshire,2,5.9000000000000003553,0
2020-11-19,North East Derbyshire,1,5.9000000000000003553,1
2020-11-20,North East Derbyshire,1,6.9000000000000003553,3
2020-11-21,North East Derbyshire,0,5.9000000000000003553,0
2020-11-22,North East Derbyshire,1,6.9000000000000003553,1
2020-11-23,North East Derbyshire,0,4.9000000000000003553,0
2020-11-24,North East Derbyshire,0,4.9000000000000003553,0
2020-11-25,North East Derbyshire,1,3.8999999999999999112,0
2020-11-26,North East Derbyshire,1,3.8999999999999999112,1
2020-11-27,North East Derbyshire,0,3,2
2020-11-28,North East Derbyshire,2,4.9000000000000003553,0
2020-11-29,North East Derbyshire,4,7.9000000000000003553,0
2020-11-30,North East Derbyshire,0,7.9000000000000003553,0
2020-12-01,North East Derbyshire,0,7.9000000000000003553,3
2020-12-02,North East Derbyshire,0,6.9000000000000003553,0
2020-12-03,North East Derbyshire,1,6.9000000000000003553,3
2020-12-04,North East Derbyshire,5,11.800000000000000711,1
2020-12-05,North East Derbyshire,1,10.800000000000000711,1
2020-12-06,North East Derbyshire,1,7.9000000000000003553,1
2020-12-07,North East Derbyshire,0,7.9000000000000003553,0
2020-12-08,North East Derbyshire,1,8.9000000000000003553,5
2020-12-09,North East Derbyshire,0,8.9000000000000003553,0
2020-12-10,North East Derbyshire,0,7.9000000000000003553,0
2020-12-11,North East Derbyshire,1,3.8999999999999999112,0
2020-12-12,North East Derbyshire,1,3.8999999999999999112,1
2020-12-13,North East Derbyshire,0,3,0
2020-12-14,North East Derbyshire,0,3,0
2020-12-15,North East Derbyshire,0,2,2
2020-12-16,North East Derbyshire,0,2,0
2020-12-17,North East Derbyshire,0,2,0
2020-12-18,North East Derbyshire,0,1,0
2020-12-19,North East Derbyshire,0,0,0
2020-12-20,North East Derbyshire,0,0,0
