date,areaName,deaths,deathsRollingRate,deathsReported
2020-01-03,Southampton,,0,0
2020-01-04,Southampton,,0,0
2020-01-05,Southampton,,0,0
2020-01-06,Southampton,,0,0
2020-01-07,Southampton,,0,0
2020-01-08,Southampton,,0,0
2020-01-09,Southampton,,0,0
2020-01-10,Southampton,,0,0
2020-01-11,Southampton,,0,0
2020-01-12,Southampton,,0,0
2020-01-13,Southampton,,0,0
2020-01-14,Southampton,,0,0
2020-01-15,Southampton,,0,0
2020-01-16,Southampton,,0,0
2020-01-17,Southampton,,0,0
2020-01-18,Southampton,,0,0
2020-01-19,Southampton,,0,0
2020-01-20,Southampton,,0,0
2020-01-21,Southampton,,0,0
2020-01-22,Southampton,,0,0
2020-01-23,Southampton,,0,0
2020-01-24,Southampton,,0,0
2020-01-25,Southampton,,0,0
2020-01-26,Southampton,,0,0
2020-01-27,Southampton,,0,0
2020-01-28,Southampton,,0,0
2020-01-29,Southampton,,0,0
2020-01-30,Southampton,,0,0
2020-01-31,Southampton,,0,0
2020-02-01,Southampton,,0,0
2020-02-02,Southampton,,0,0
2020-02-03,Southampton,,0,0
2020-02-04,Southampton,,0,0
2020-02-05,Southampton,,0,0
2020-02-06,Southampton,,0,0
2020-02-07,Southampton,,0,0
2020-02-08,Southampton,,0,0
2020-02-09,Southampton,,0,0
2020-02-10,Southampton,,0,0
2020-02-11,Southampton,,0,0
2020-02-12,Southampton,,0,0
2020-02-13,Southampton,,0,0
2020-02-14,Southampton,,0,0
2020-02-15,Southampton,,0,0
2020-02-16,Southampton,,0,0
2020-02-17,Southampton,,0,0
2020-02-18,Southampton,,0,0
2020-02-19,Southampton,,0,0
2020-02-20,Southampton,,0,0
2020-02-21,Southampton,,0,0
2020-02-22,Southampton,,0,0
2020-02-23,Southampton,,0,0
2020-02-24,Southampton,,0,0
2020-02-25,Southampton,,0,0
2020-02-26,Southampton,,0,0
2020-02-27,Southampton,,0,0
2020-02-28,Southampton,,0,0
2020-02-29,Southampton,,0,0
2020-03-01,Southampton,,0,0
2020-03-02,Southampton,,0,0
2020-03-03,Southampton,,0,0
2020-03-04,Southampton,,0,0
2020-03-05,Southampton,,0,0
2020-03-06,Southampton,,0,0
2020-03-07,Southampton,,0,0
2020-03-08,Southampton,,0,0
2020-03-09,Southampton,,0,0
2020-03-10,Southampton,,0,0
2020-03-11,Southampton,,0,0
2020-03-12,Southampton,,0,0
2020-03-13,Southampton,,0,0
2020-03-14,Southampton,,0,0
2020-03-15,Southampton,1,0,0
2020-03-16,Southampton,0,0,0
2020-03-17,Southampton,1,0,0
2020-03-18,Southampton,0,0,0
2020-03-19,Southampton,0,0,0
2020-03-20,Southampton,0,0,0
2020-03-21,Southampton,0,0.80000000000000004441,0
2020-03-22,Southampton,1,0.80000000000000004441,0
2020-03-23,Southampton,1,1.1999999999999999556,0
2020-03-24,Southampton,0,0.80000000000000004441,0
2020-03-25,Southampton,1,1.1999999999999999556,0
2020-03-26,Southampton,1,1.6000000000000000888,0
2020-03-27,Southampton,1,2,0
2020-03-28,Southampton,2,2.7999999999999998224,0
2020-03-29,Southampton,3,3.6000000000000000888,0
2020-03-30,Southampton,0,3.2000000000000001776,0
2020-03-31,Southampton,2,4,0
2020-04-01,Southampton,1,4,0
2020-04-02,Southampton,0,3.6000000000000000888,0
2020-04-03,Southampton,3,4.4000000000000003553,0
2020-04-04,Southampton,3,4.7999999999999998224,0
2020-04-05,Southampton,1,4,0
2020-04-06,Southampton,1,4.4000000000000003553,0
2020-04-07,Southampton,4,5.0999999999999996447,0
2020-04-08,Southampton,2,5.5,0
2020-04-09,Southampton,5,7.5,0
2020-04-10,Southampton,1,6.7000000000000001776,0
