date,areaName,deaths,deathsRollingRate,deathsReported
2020-05-28,Birmingham,0,1.1000000000000000888,0
2020-05-29,Birmingham,3,1.1000000000000000888,0
2020-05-30,Birmingham,0,0.9000000000000000222,0
2020-05-31,Birmingham,2,0.9000000000000000222,0
2020-06-01,Birmingham,1,0.9000000000000000222,0
2020-06-02,Birmingham,3,1,0
2020-06-03,Birmingham,1,0.9000000000000000222,0
2020-06-04,Birmingham,0,0.9000000000000000222,0
2020-06-05,Birmingham,1,0.70000000000000006661,0
2020-06-06,Birmingham,1,0.80000000000000004441,0
2020-06-07,Birmingham,1,0.70000000000000006661,0
2020-06-08,Birmingham,1,0.70000000000000006661,0
2020-06-09,Birmingham,1,0.5,0
2020-06-10,Birmingham,2,0.60000000000000008882,0
2020-06-11,Birmingham,2,0.80000000000000004441,0
2020-06-12,Birmingham,1,0.80000000000000004441,0
2020-06-13,Birmingham,0,0.70000000000000006661,0
2020-06-14,Birmingham,0,0.60000000000000008882,0
2020-06-15,Birmingham,0,0.5,0
2020-06-16,Birmingham,0,0.4000000000000000222,0
2020-06-17,Birmingham,1,0.4000000000000000222,0
2020-06-18,Birmingham,2,0.4000000000000000222,0
2020-06-19,Birmingham,1,0.4000000000000000222,0
2020-06-20,Birmingham,1,0.4000000000000000222,0
2020-06-21,Birmingham,0,0.4000000000000000222,0
2020-06-22,Birmingham,0,0.4000000000000000222,0
2020-06-23,Birmingham,1,0.5,0
2020-06-24,Birmingham,0,0.4000000000000000222,0
2020-06-25,Birmingham,0,0.30000000000000004441,0
2020-06-26,Birmingham,1,0.30000000000000004441,0
2020-06-27,Birmingham,1,0.30000000000000004441,0
2020-06-28,Birmingham,1,0.4000000000000000222,0
2020-06-29,Birmingham,0,0.4000000000000000222,0
2020-06-30,Birmingham,0,0.30000000000000004441,0
2020-07-01,Birmingham,1,0.4000000000000000222,0
2020-07-02,Birmingham,1,0.4000000000000000222,0
2020-07-03,Birmingham,0,0.4000000000000000222,0
2020-07-04,Birmingham,1,0.4000000000000000222,0
2020-07-05,Birmingham,0,0.30000000000000004441,0
2020-07-06,Birmingham,0,0.30000000000000004441,0
2020-07-07,Birmingham,1,0.4000000000000000222,0
2020-07-08,Birmingham,0,0.30000000000000004441,0
2020-07-09,Birmingham,1,0.30000000000000004441,0
2020-07-10,Birmingham,0,0.30000000000000004441,0
2020-07-11,Birmingham,0,0.2000000000000000111,0
2020-07-12,Birmingham,0,0.2000000000000000111,0
2020-07-13,Birmingham,0,0.2000000000000000111,0
2020-07-14,Birmingham,0,0.10000000000000000555,0
2020-07-15,Birmingham,0,0.10000000000000000555,0
2020-07-16,Birmingham,0,0,0
2020-07-17,Birmingham,1,0.10000000000000000555,0
2020-07-18,Birmingham,0,0.10000000000000000555,0
2020-07-19,Birmingham,0,0.10000000000000000555,0
2020-07-20,Birmingham,1,0.2000000000000000111,0
2020-07-21,Birmingham,0,0.2000000000000000111,0
2020-07-22,Birmingham,1,0.30000000000000004441,0
2020-07-23,Birmingham,1,0.4000000000000000222,0
2020-07-24,Birmingham,0,0.30000000000000004441,0
2020-07-25,Birmingham,2,0.4000000000000000222,0
2020-07-26,Birmingham,0,0.4000000000000000222,0
2020-07-27,Birmingham,0,0.4000000000000000222,0
2020-07-28,Birmingham,0,0.4000000000000000222,0
2020-07-29,Birmingham,0,0.30000000000000004441,0
2020-07-30,Birmingham,0,0.2000000000000000111,0
2020-07-31,Birmingham,1,0.30000000000000004441,0
2020-08-01,Birmingham,0,0.10000000000000000555,0
2020-08-02,Birmingham,0,0.10000000000000000555,0
2020-08-03,Birmingham,0,0.10000000000000000555,0
2020-08-04,Birmingham,0,0.10000000000000000555,0
2020-08-05,Birmingham,0,0.10000000000000000555,0
2020-08-06,Birmingham,0,0.10000000000000000555,0
2020-08-07,Birmingham,2,0.2000000000000000111,0
2020-08-08,Birmingham,0,0.2000000000000000111,0
2020-08-09,Birmingham,0,0.2000000000000000111,0
2020-08-10,Birmingham,0,0.2000000000000000111,0
2020-08-11,Birmingham,0,0.2000000000000000111,0
2020-08-12,Birmingham,0,0.2000000000000000111,0
2020-08-13,Birmingham,0,0.2000000000000000111,0
2020-08-14,Birmingham,0,0,0
2020-08-15,Birmingham,1,0.10000000000000000555,0
2020-08-16,Birmingham,0,0.10000000000000000555,0
2020-08-17,Birmingham,0,0.10000000000000000555,0
2020-08-18,Birmingham,0,0.10000000000000000555,0
2020-08-19,Birmingham,0,0.10000000000000000555,0
2020-08-20,Birmingham,0,0.10000000000000000555,0
2020-08-21,Birmingham,0,0.10000000000000000555,0
2020-08-22,Birmingham,0,0,0
2020-08-23,Birmingham,0,0,0
2020-08-24,Birmingham,0,0,0
2020-08-25,Birmingham,0,0,0
2020-08-26,Birmingham,1,0.10000000000000000555,0
2020-08-27,Birmingham,0,0.10000000000000000555,2
2020-08-28,Birmingham,1,0.2000000000000000111,0
2020-08-29,Birmingham,0,0.2000000000000000111,0
2020-08-30,Birmingham,0,0.2000000000000000111,1
2020-08-31,Birmingham,0,0.2000000000000000111,0
2020-09-01,Birmingham,0,0.2000000000000000111,0
2020-09-02,Birmingham,0,0.10000000000000000555,1
2020-09-03,Birmingham,0,0.10000000000000000555,1
2020-09-04,Birmingham,0,0,0
2020-09-05,Birmingham,0,0,0
2020-09-06,Birmingham,0,0,0
2020-09-07,Birmingham,1,0.10000000000000000555,0
2020-09-08,Birmingham,1,0.2000000000000000111,0
2020-09-09,Birmingham,0,0.2000000000000000111,1
2020-09-10,Birmingham,0,0.2000000000000000111,1
2020-09-11,Birmingham,0,0.2000000000000000111,0
2020-09-12,Birmingham,0,0.2000000000000000111,0
2020-09-13,Birmingham,0,0.2000000000000000111,0
