date,cc_open,cc_occupied
2010-11-01,442,328
2010-11-02,502,404
2010-11-03,489,404
2010-11-04,506,430
2010-11-07,534,427
2010-11-08,533,435
2010-11-09,533,452
2010-11-10,534,459
2010-11-11,533,461
2010-11-14,533,411
2010-11-15,533,450
2010-11-16,532,455
2010-11-17,532,444
2010-11-18,533,455
2010-11-21,534,439
2010-11-22,533,458
2010-11-23,535,460
2010-11-24,535,450
2010-11-25,533,440
2010-11-28,529,448
2010-11-29,534,447
2010-11-30,536,470
2010-12-01,536,472
2010-12-02,534,460
2010-12-05,535,458
2010-12-06,536,454
2010-12-07,537,465
2010-12-08,538,480
2010-12-09,537,480
2010-12-12,535,455
2010-12-13,539,458
2010-12-14,538,479
2010-12-15,534,470
2010-12-16,497,449
2010-12-19,490,417
2010-12-20,533,457
2010-12-21,530,461
2010-12-22,525,455
2010-12-23,529,446
2010-12-29,566,461
2010-12-30,533,457
2011-01-03,558,467
2011-01-04,536,461
2011-01-05,535,453
2011-01-06,528,445
2011-01-09,484,422
2011-01-10,523,445
2011-01-11,522,439
2011-01-12,527,444
2011-01-13,525,448
2011-01-16,520,452
2011-01-17,526,435
2011-01-18,521,453
2011-01-19,510,450
2011-01-20,521,444
2011-01-23,520,428
2011-01-24,521,446
2011-01-25,519,465
2011-01-26,522,476
2011-01-27,549,482
2011-01-30,546,440
2011-01-31,547,454
2011-02-01,547,464
2011-02-02,548,481
2011-02-03,544,478
2011-02-06,546,440
2011-02-07,547,452
2011-02-08,549,448
2011-02-09,548,461
2011-02-10,545,459
2011-02-13,546,435
2011-02-14,546,437
2011-02-15,545,451
2011-02-16,544,456
2011-02-17,543,443
2011-02-20,543,425
