date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-01-05,South East,,0,4379,364,
2021-01-04,South East,,0,4730,356,
2021-01-03,South East,665,42.700000000000002842,4501,346,"[{'age': '65_to_84', 'rate': 868.4, 'value': 12800}, {'age': '18_to_64', 'rate': 199.5, 'value': 10460}, {'age': '85+', 'rate': 3127.3, 'value': 7765}, {'age': '0_to_5', 'rate': 30.5, 'value': 188}, {'age': '6_to_17', 'rate': 12.6, 'value': 160}]"
2021-01-02,South East,591,41,4231,333,"[{'age': '65_to_84', 'rate': 851.7, 'value': 12554}, {'age': '18_to_64', 'rate': 194.7, 'value': 10207}, {'age': '85+', 'rate': 3063.3, 'value': 7606}, {'age': '0_to_5', 'rate': 30.0, 'value': 185}, {'age': '6_to_17', 'rate': 12.3, 'value': 156}]"
2021-01-01,South East,638,39.100000000000001421,4034,324,"[{'age': '65_to_84', 'rate': 836.0, 'value': 12322}, {'age': '18_to_64', 'rate': 190.4, 'value': 9985}, {'age': '85+', 'rate': 3010.9, 'value': 7476}, {'age': '0_to_5', 'rate': 29.5, 'value': 182}, {'age': '6_to_17', 'rate': 12.0, 'value': 152}]"
2020-12-31,South East,404,35.600000000000001421,4022,301,"[{'age': '65_to_84', 'rate': 818.5, 'value': 12065}, {'age': '18_to_64', 'rate': 186.0, 'value': 9751}, {'age': '85+', 'rate': 2952.5, 'value': 7331}, {'age': '0_to_5', 'rate': 29.5, 'value': 182}, {'age': '6_to_17', 'rate': 11.8, 'value': 150}]"
2020-12-30,South East,552,34.700000000000002842,3949,290,"[{'age': '65_to_84', 'rate': 807.7, 'value': 11906}, {'age': '18_to_64', 'rate': 183.0, 'value': 9595}, {'age': '85+', 'rate': 2917.9, 'value': 7245}, {'age': '0_to_5', 'rate': 29.0, 'value': 179}, {'age': '6_to_17', 'rate': 11.8, 'value': 150}]"
2020-12-29,South East,504,32.100000000000001421,3796,284,"[{'age': '65_to_84', 'rate': 793.6, 'value': 11698}, {'age': '18_to_64', 'rate': 179.1, 'value': 9392}, {'age': '85+', 'rate': 2864.7, 'value': 7113}, {'age': '0_to_5', 'rate': 28.4, 'value': 175}, {'age': '6_to_17', 'rate': 11.4, 'value': 145}]"
2020-12-28,South East,423,30.5,3544,258,"[{'age': '65_to_84', 'rate': 780.3, 'value': 11502}, {'age': '18_to_64', 'rate': 175.1, 'value': 9181}, {'age': '85+', 'rate': 2827.7, 'value': 7021}, {'age': '0_to_5', 'rate': 27.7, 'value': 171}, {'age': '6_to_17', 'rate': 11.3, 'value': 144}]"
2020-12-27,South East,515,29.800000000000000711,3370,247,"[{'age': '65_to_84', 'rate': 770.3, 'value': 11354}, {'age': '18_to_64', 'rate': 171.9, 'value': 9013}, {'age': '85+', 'rate': 2788.2, 'value': 6923}, {'age': '0_to_5', 'rate': 26.9, 'value': 166}, {'age': '6_to_17', 'rate': 11.0, 'value': 140}]"
