date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-02-13,North East and Yorkshire,,0,2589,296,
2021-02-12,North East and Yorkshire,,0,2723,293,
2021-02-11,North East and Yorkshire,217,20.699999999999999289,2817,308,"[{'age': '85+', 'rate': 6212.1, 'value': 12779}, {'age': '6_to_17', 'rate': 33.0, 'value': 391}, {'age': '18_to_64', 'rate': 358.2, 'value': 18457}, {'age': '0_to_5', 'rate': 58.2, 'value': 345}, {'age': '65_to_84', 'rate': 1828.0, 'value': 26160}]"
2021-02-10,North East and Yorkshire,242,21.699999999999999289,2847,302,"[{'age': '85+', 'rate': 6198.5, 'value': 12751}, {'age': '6_to_17', 'rate': 32.8, 'value': 388}, {'age': '18_to_64', 'rate': 356.4, 'value': 18366}, {'age': '0_to_5', 'rate': 57.9, 'value': 343}, {'age': '65_to_84', 'rate': 1821.5, 'value': 26067}]"
2021-02-09,North East and Yorkshire,272,22.699999999999999289,2978,297,"[{'age': '85+', 'rate': 6175.7, 'value': 12704}, {'age': '6_to_17', 'rate': 32.4, 'value': 384}, {'age': '18_to_64', 'rate': 354.4, 'value': 18264}, {'age': '0_to_5', 'rate': 57.7, 'value': 342}, {'age': '65_to_84', 'rate': 1815.4, 'value': 25979}]"
2021-02-08,North East and Yorkshire,264,23.199999999999999289,3148,308,"[{'age': '85+', 'rate': 6150.4, 'value': 12652}, {'age': '6_to_17', 'rate': 32.2, 'value': 382}, {'age': '18_to_64', 'rate': 352.3, 'value': 18156}, {'age': '0_to_5', 'rate': 57.7, 'value': 342}, {'age': '65_to_84', 'rate': 1807.7, 'value': 25869}]"
2021-02-07,North East and Yorkshire,250,24,3057,306,"[{'age': '85+', 'rate': 6126.1, 'value': 12602}, {'age': '6_to_17', 'rate': 32.2, 'value': 381}, {'age': '18_to_64', 'rate': 350.5, 'value': 18062}, {'age': '0_to_5', 'rate': 57.5, 'value': 341}, {'age': '65_to_84', 'rate': 1799.4, 'value': 25751}]"
2021-02-06,North East and Yorkshire,274,24.199999999999999289,3066,307,"[{'age': '85+', 'rate': 6105.2, 'value': 12559}, {'age': '6_to_17', 'rate': 32.2, 'value': 381}, {'age': '18_to_64', 'rate': 348.5, 'value': 17957}, {'age': '0_to_5', 'rate': 57.2, 'value': 339}, {'age': '65_to_84', 'rate': 1792.4, 'value': 25651}]"
2021-02-05,North East and Yorkshire,254,24.600000000000001421,3183,316,"[{'age': '85+', 'rate': 6081.4, 'value': 12510}, {'age': '6_to_17', 'rate': 32.1, 'value': 380}, {'age': '18_to_64', 'rate': 346.3, 'value': 17842}, {'age': '0_to_5', 'rate': 57.0, 'value': 338}, {'age': '65_to_84', 'rate': 1784.9, 'value': 25543}]"
2021-02-04,North East and Yorkshire,301,25.800000000000000711,3255,322,"[{'age': '85+', 'rate': 6056.6, 'value': 12459}, {'age': '6_to_17', 'rate': 31.8, 'value': 377}, {'age': '18_to_64', 'rate': 344.5, 'value': 17750}, {'age': '0_to_5', 'rate': 56.5, 'value': 335}, {'age': '65_to_84', 'rate': 1777.6, 'value': 25438}]"
2021-02-03,North East and Yorkshire,333,26.399999999999998579,3330,326,"[{'age': '85+', 'rate': 6030.8, 'value': 12406}, {'age': '6_to_17', 'rate': 31.6, 'value': 374}, {'age': '18_to_64', 'rate': 342.4, 'value': 17643}, {'age': '0_to_5', 'rate': 55.8, 'value': 331}, {'age': '65_to_84', 'rate': 1768.2, 'value': 25304}]"
2021-02-02,North East and Yorkshire,308,26.699999999999999289,3402,319,"[{'age': '85+', 'rate': 5995.3, 'value': 12333}, {'age': '6_to_17', 'rate': 31.4, 'value': 372}, {'age': '18_to_64', 'rate': 340.2, 'value': 17529}, {'age': '0_to_5', 'rate': 55.3, 'value': 328}, {'age': '65_to_84', 'rate': 1758.3, 'value': 25163}]"
2021-02-01,North East and Yorkshire,334,27.600000000000001421,3496,317,"[{'age': '85+', 'rate': 5967.1, 'value': 12275}, {'age': '6_to_17', 'rate': 31.4, 'value': 372}, {'age': '18_to_64', 'rate': 338.3, 'value': 17430}, {'age': '0_to_5', 'rate': 54.8, 'value': 325}, {'age': '65_to_84', 'rate': 1748.0, 'value': 25015}]"
2021-01-31,North East and Yorkshire,266,27.699999999999999289,3506,319,"[{'age': '85+', 'rate': 5937.0, 'value': 12213}, {'age': '6_to_17', 'rate': 31.1, 'value': 369}, {'age': '18_to_64', 'rate': 335.9, 'value': 17310}, {'age': '0_to_5', 'rate': 54.7, 'value': 324}, {'age': '65_to_84', 'rate': 1737.7, 'value': 24867}]"
2021-01-30,North East and Yorkshire,312,29.399999999999998579,3484,317,"[{'age': '85+', 'rate': 5915.1, 'value': 12168}, {'age': '6_to_17', 'rate': 31.1, 'value': 369}, {'age': '18_to_64', 'rate': 334.0, 'value': 17213}, {'age': '0_to_5', 'rate': 54.3, 'value': 322}, {'age': '65_to_84', 'rate': 1729.1, 'value': 24745}]"
2021-01-29,North East and Yorkshire,354,30,3521,314,"[{'age': '85+', 'rate': 5885.5, 'value': 12107}, {'age': '6_to_17', 'rate': 31.0, 'value': 367}, {'age': '18_to_64', 'rate': 331.9, 'value': 17100}, {'age': '0_to_5', 'rate': 54.0, 'value': 320}, {'age': '65_to_84', 'rate': 1719.8, 'value': 24611}]"
