date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-09-24,East of England,46,5.0,390,55,"[{'age': '18_to_64', 'rate': 391.5, 'value': 15019}, {'age': '65_to_84', 'rate': 1621.6, 'value': 18086}, {'age': '85+', 'rate': 5860.2, 'value': 10588}, {'age': '0_to_5', 'rate': 82.0, 'value': 380}, {'age': '6_to_17', 'rate': 37.8, 'value': 366}]"
2021-09-23,East of England,42,4.9,414,61,"[{'age': '18_to_64', 'rate': 391.0, 'value': 14998}, {'age': '65_to_84', 'rate': 1620.7, 'value': 18076}, {'age': '85+', 'rate': 5853.5, 'value': 10576}, {'age': '0_to_5', 'rate': 81.3, 'value': 377}, {'age': '6_to_17', 'rate': 37.8, 'value': 366}]"
2021-09-22,East of England,41,5.2,442,63,"[{'age': '18_to_64', 'rate': 390.5, 'value': 14979}, {'age': '65_to_84', 'rate': 1619.5, 'value': 18062}, {'age': '85+', 'rate': 5850.2, 'value': 10570}, {'age': '0_to_5', 'rate': 81.1, 'value': 376}, {'age': '6_to_17', 'rate': 37.6, 'value': 364}]"
2021-09-21,East of England,42,5.3,456,59,"[{'age': '18_to_64', 'rate': 390.0, 'value': 14960}, {'age': '65_to_84', 'rate': 1618.1, 'value': 18047}, {'age': '85+', 'rate': 5846.3, 'value': 10563}, {'age': '0_to_5', 'rate': 81.1, 'value': 376}, {'age': '6_to_17', 'rate': 37.6, 'value': 364}]"
2021-09-20,East of England,53,5.9,482,71,"[{'age': '18_to_64', 'rate': 389.6, 'value': 14944}, {'age': '65_to_84', 'rate': 1616.7, 'value': 18031}, {'age': '85+', 'rate': 5843.6, 'value': 10558}, {'age': '0_to_5', 'rate': 80.5, 'value': 373}, {'age': '6_to_17', 'rate': 37.4, 'value': 362}]"
2021-09-19,East of England,49,5.9,458,64,"[{'age': '18_to_64', 'rate': 389.0, 'value': 14923}, {'age': '65_to_84', 'rate': 1615.3, 'value': 18016}, {'age': '85+', 'rate': 5840.3, 'value': 10552}, {'age': '0_to_5', 'rate': 78.8, 'value': 365}, {'age': '6_to_17', 'rate': 37.1, 'value': 359}]"
2021-09-18,East of England,56,6.2,459,65,"[{'age': '18_to_64', 'rate': 388.4, 'value': 14901}, {'age': '65_to_84', 'rate': 1613.8, 'value': 17999}, {'age': '85+', 'rate': 5836.4, 'value': 10545}, {'age': '0_to_5', 'rate': 78.3, 'value': 363}, {'age': '6_to_17', 'rate': 37.0, 'value': 358}]"
2021-09-17,East of England,41,6.1,473,73,"[{'age': '18_to_64', 'rate': 387.8, 'value': 14877}, {'age': '65_to_84', 'rate': 1612.2, 'value': 17981}, {'age': '85+', 'rate': 5831.4, 'value': 10536}, {'age': '0_to_5', 'rate': 77.2, 'value': 358}, {'age': '6_to_17', 'rate': 37.0, 'value': 358}]"
2021-09-16,East of England,61,6.3,512,77,"[{'age': '18_to_64', 'rate': 387.3, 'value': 14856}, {'age': '65_to_84', 'rate': 1611.2, 'value': 17970}, {'age': '85+', 'rate': 5827.0, 'value': 10528}, {'age': '0_to_5', 'rate': 77.0, 'value': 357}, {'age': '6_to_17', 'rate': 37.0, 'value': 358}]"
2021-09-15,East of England,48,6.4,527,81,"[{'age': '18_to_64', 'rate': 386.6, 'value': 14832}, {'age': '65_to_84', 'rate': 1609.1, 'value': 17946}, {'age': '85+', 'rate': 5822.5, 'value': 10520}, {'age': '0_to_5', 'rate': 76.2, 'value': 353}, {'age': '6_to_17', 'rate': 36.9, 'value': 357}]"
2021-09-14,East of England,76,6.5,545,86,"[{'age': '18_to_64', 'rate': 385.9, 'value': 14805}, {'age': '65_to_84', 'rate': 1608.1, 'value': 17935}, {'age': '85+', 'rate': 5817.6, 'value': 10511}, {'age': '0_to_5', 'rate': 75.9, 'value': 352}, {'age': '6_to_17', 'rate': 36.9, 'value': 357}]"
2021-09-13,East of England,53,6.3,550,84,"[{'age': '18_to_64', 'rate': 385.2, 'value': 14778}, {'age': '65_to_84', 'rate': 1605.0, 'value': 17901}, {'age': '85+', 'rate': 5810.4, 'value': 10498}, {'age': '0_to_5', 'rate': 75.5, 'value': 350}, {'age': '6_to_17', 'rate': 36.9, 'value': 357}]"
2021-09-12,East of England,73,6.8,526,81,"[{'age': '18_to_64', 'rate': 384.6, 'value': 14754}, {'age': '65_to_84', 'rate': 1603.7, 'value': 17886}, {'age': '85+', 'rate': 5804.3, 'value': 10487}, {'age': '0_to_5', 'rate': 75.3, 'value': 349}, {'age': '6_to_17', 'rate': 36.7, 'value': 355}]"
2021-09-11,East of England,50,6.7,539,80,"[{'age': '18_to_64', 'rate': 383.8, 'value': 14723}, {'age': '65_to_84', 'rate': 1601.4, 'value': 17860}, {'age': '85+', 'rate': 5798.2, 'value': 10476}, {'age': '0_to_5', 'rate': 74.7, 'value': 346}, {'age': '6_to_17', 'rate': 36.5, 'value': 353}]"
2021-09-10,East of England,54,6.9,546,81,"[{'age': '18_to_64', 'rate': 383.4, 'value': 14707}, {'age': '65_to_84', 'rate': 1599.7, 'value': 17842}, {'age': '85+', 'rate': 5790.4, 'value': 10462}, {'age': '0_to_5', 'rate': 74.4, 'value': 345}, {'age': '6_to_17', 'rate': 36.4, 'value': 352}]"
2021-09-09,East of England,68,6.7,487,80,"[{'age': '18_to_64', 'rate': 382.6, 'value': 14678}, {'age': '65_to_84', 'rate': 1598.3, 'value': 17826}, {'age': '85+', 'rate': 5787.7, 'value': 10457}, {'age': '0_to_5', 'rate': 74.2, 'value': 344}, {'age': '6_to_17', 'rate': 36.1, 'value': 349}]"
2021-09-08,East of England,51,6.7,544,91,"[{'age': '18_to_64', 'rate': 381.9, 'value': 14650}, {'age': '65_to_84', 'rate': 1596.2, 'value': 17803}, {'age': '85+', 'rate': 5781.0, 'value': 10445}, {'age': '0_to_5', 'rate': 73.8, 'value': 342}, {'age': '6_to_17', 'rate': 35.8, 'value': 346}]"
2021-09-07,East of England,66,7.2,547,81,"[{'age': '18_to_64', 'rate': 381.4, 'value': 14631}, {'age': '65_to_84', 'rate': 1594.7, 'value': 17786}, {'age': '85+', 'rate': 5776.1, 'value': 10436}, {'age': '0_to_5', 'rate': 73.1, 'value': 339}, {'age': '6_to_17', 'rate': 35.5, 'value': 343}]"
2021-09-06,East of England,87,7.2,551,87,"[{'age': '18_to_64', 'rate': 380.8, 'value': 14607}, {'age': '65_to_84', 'rate': 1592.3, 'value': 17759}, {'age': '85+', 'rate': 5770.0, 'value': 10425}, {'age': '0_to_5', 'rate': 72.9, 'value': 338}, {'age': '6_to_17', 'rate': 35.1, 'value': 340}]"
2021-09-05,East of England,62,7.0,516,80,"[{'age': '18_to_64', 'rate': 379.8, 'value': 14570}, {'age': '65_to_84', 'rate': 1589.4, 'value': 17727}, {'age': '85+', 'rate': 5762.2, 'value': 10411}, {'age': '0_to_5', 'rate': 72.9, 'value': 338}, {'age': '6_to_17', 'rate': 34.7, 'value': 336}]"
2021-09-04,East of England,68,7.1,503,83,"[{'age': '18_to_64', 'rate': 379.0, 'value': 14539}, {'age': '65_to_84', 'rate': 1587.6, 'value': 17707}, {'age': '85+', 'rate': 5757.8, 'value': 10403}, {'age': '0_to_5', 'rate': 72.3, 'value': 335}, {'age': '6_to_17', 'rate': 34.7, 'value': 336}]"
2021-09-03,East of England,36,6.9,531,86,"[{'age': '18_to_64', 'rate': 378.1, 'value': 14506}, {'age': '65_to_84', 'rate': 1585.7, 'value': 17685}, {'age': '85+', 'rate': 5752.8, 'value': 10394}, {'age': '0_to_5', 'rate': 71.6, 'value': 332}, {'age': '6_to_17', 'rate': 34.6, 'value': 335}]"
2021-09-02,East of England,73,7.5,532,86,"[{'age': '18_to_64', 'rate': 377.8, 'value': 14492}, {'age': '65_to_84', 'rate': 1584.2, 'value': 17669}, {'age': '85+', 'rate': 5749.5, 'value': 10388}, {'age': '0_to_5', 'rate': 71.6, 'value': 332}, {'age': '6_to_17', 'rate': 34.6, 'value': 335}]"
2021-09-01,East of England,80,7.7,535,83,"[{'age': '18_to_64', 'rate': 376.9, 'value': 14459}, {'age': '65_to_84', 'rate': 1582.9, 'value': 17654}, {'age': '85+', 'rate': 5739.5, 'value': 10370}, {'age': '0_to_5', 'rate': 71.4, 'value': 331}, {'age': '6_to_17', 'rate': 34.0, 'value': 329}]"
2021-08-31,East of England,65,7.5,547,79,"[{'age': '18_to_64', 'rate': 376.0, 'value': 14422}, {'age': '65_to_84', 'rate': 1580.5, 'value': 17627}, {'age': '85+', 'rate': 5731.8, 'value': 10356}, {'age': '0_to_5', 'rate': 71.2, 'value': 330}, {'age': '6_to_17', 'rate': 33.9, 'value': 328}]"
2021-08-30,East of England,77,7.5,521,69,"[{'age': '18_to_64', 'rate': 375.1, 'value': 14390}, {'age': '65_to_84', 'rate': 1578.3, 'value': 17603}, {'age': '85+', 'rate': 5727.9, 'value': 10349}, {'age': '0_to_5', 'rate': 71.2, 'value': 330}, {'age': '6_to_17', 'rate': 33.8, 'value': 327}]"
2021-08-29,East of England,69,7.4,510,75,"[{'age': '18_to_64', 'rate': 374.2, 'value': 14354}, {'age': '65_to_84', 'rate': 1576.5, 'value': 17583}, {'age': '85+', 'rate': 5719.0, 'value': 10333}, {'age': '0_to_5', 'rate': 70.3, 'value': 326}, {'age': '6_to_17', 'rate': 33.7, 'value': 326}]"
2021-08-28,East of England,54,7.2,488,71,"[{'age': '18_to_64', 'rate': 373.4, 'value': 14326}, {'age': '65_to_84', 'rate': 1575.0, 'value': 17566}, {'age': '85+', 'rate': 5708.5, 'value': 10314}, {'age': '0_to_5', 'rate': 69.7, 'value': 323}, {'age': '6_to_17', 'rate': 33.5, 'value': 324}]"
2021-08-27,East of England,71,7.4,491,75,"[{'age': '18_to_64', 'rate': 372.9, 'value': 14306}, {'age': '65_to_84', 'rate': 1572.9, 'value': 17543}, {'age': '85+', 'rate': 5705.2, 'value': 10308}, {'age': '0_to_5', 'rate': 69.5, 'value': 322}, {'age': '6_to_17', 'rate': 33.1, 'value': 320}]"
2021-08-26,East of England,88,7.3,492,71,"[{'age': '18_to_64', 'rate': 371.9, 'value': 14265}, {'age': '65_to_84', 'rate': 1571.1, 'value': 17522}, {'age': '85+', 'rate': 5700.8, 'value': 10300}, {'age': '0_to_5', 'rate': 69.3, 'value': 321}, {'age': '6_to_17', 'rate': 33.1, 'value': 320}]"
2021-08-25,East of England,66,7.0,494,74,"[{'age': '18_to_64', 'rate': 370.6, 'value': 14217}, {'age': '65_to_84', 'rate': 1568.8, 'value': 17497}, {'age': '85+', 'rate': 5695.8, 'value': 10291}, {'age': '0_to_5', 'rate': 68.6, 'value': 318}, {'age': '6_to_17', 'rate': 32.8, 'value': 317}]"
2021-08-24,East of England,69,7.2,502,79,"[{'age': '18_to_64', 'rate': 369.7, 'value': 14183}, {'age': '65_to_84', 'rate': 1567.2, 'value': 17479}, {'age': '85+', 'rate': 5691.4, 'value': 10283}, {'age': '0_to_5', 'rate': 68.2, 'value': 316}, {'age': '6_to_17', 'rate': 32.4, 'value': 313}]"
2021-08-23,East of England,70,7.2,499,73,"[{'age': '18_to_64', 'rate': 368.9, 'value': 14150}, {'age': '65_to_84', 'rate': 1564.9, 'value': 17453}, {'age': '85+', 'rate': 5687.5, 'value': 10276}, {'age': '0_to_5', 'rate': 68.2, 'value': 316}, {'age': '6_to_17', 'rate': 32.0, 'value': 310}]"
2021-08-22,East of England,53,7.1,457,65,"[{'age': '18_to_64', 'rate': 367.8, 'value': 14111}, {'age': '65_to_84', 'rate': 1562.9, 'value': 17431}, {'age': '85+', 'rate': 5684.2, 'value': 10270}, {'age': '0_to_5', 'rate': 67.7, 'value': 314}, {'age': '6_to_17', 'rate': 31.9, 'value': 309}]"
2021-08-21,East of England,71,7.3,464,67,"[{'age': '18_to_64', 'rate': 367.2, 'value': 14085}, {'age': '65_to_84', 'rate': 1561.1, 'value': 17411}, {'age': '85+', 'rate': 5680.3, 'value': 10263}, {'age': '0_to_5', 'rate': 67.7, 'value': 314}, {'age': '6_to_17', 'rate': 31.9, 'value': 309}]"
2021-08-20,East of England,65,6.9,465,76,"[{'age': '18_to_64', 'rate': 366.3, 'value': 14052}, {'age': '65_to_84', 'rate': 1558.9, 'value': 17387}, {'age': '85+', 'rate': 5674.2, 'value': 10252}, {'age': '0_to_5', 'rate': 67.3, 'value': 312}, {'age': '6_to_17', 'rate': 31.8, 'value': 308}]"
2021-08-19,East of England,66,7.0,464,70,"[{'age': '18_to_64', 'rate': 365.6, 'value': 14024}, {'age': '65_to_84', 'rate': 1556.2, 'value': 17356}, {'age': '85+', 'rate': 5672.0, 'value': 10248}, {'age': '0_to_5', 'rate': 66.9, 'value': 310}, {'age': '6_to_17', 'rate': 31.8, 'value': 308}]"
