date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-10-14,Midlands,142,9.0,1075,133,"[{'age': '6_to_17', 'rate': 62.8, 'value': 972}, {'age': '85+', 'rate': 7338.3, 'value': 19284}, {'age': '65_to_84', 'rate': 2190.4, 'value': 38718}, {'age': '18_to_64', 'rate': 554.1, 'value': 35179}, {'age': '0_to_5', 'rate': 123.1, 'value': 903}]"
2021-10-13,Midlands,138,8.9,1086,131,"[{'age': '6_to_17', 'rate': 62.5, 'value': 967}, {'age': '85+', 'rate': 7330.3, 'value': 19263}, {'age': '65_to_84', 'rate': 2187.4, 'value': 38664}, {'age': '18_to_64', 'rate': 553.2, 'value': 35119}, {'age': '0_to_5', 'rate': 122.9, 'value': 901}]"
2021-10-12,Midlands,149,8.8,1086,129,"[{'age': '6_to_17', 'rate': 62.1, 'value': 960}, {'age': '85+', 'rate': 7323.8, 'value': 19246}, {'age': '65_to_84', 'rate': 2184.5, 'value': 38613}, {'age': '18_to_64', 'rate': 552.3, 'value': 35059}, {'age': '0_to_5', 'rate': 122.5, 'value': 898}]"
2021-10-11,Midlands,154,8.6,1073,127,"[{'age': '6_to_17', 'rate': 61.7, 'value': 954}, {'age': '85+', 'rate': 7314.3, 'value': 19221}, {'age': '65_to_84', 'rate': 2181.5, 'value': 38560}, {'age': '18_to_64', 'rate': 551.3, 'value': 34998}, {'age': '0_to_5', 'rate': 121.9, 'value': 894}]"
2021-10-10,Midlands,116,8.3,1040,118,"[{'age': '6_to_17', 'rate': 61.6, 'value': 952}, {'age': '85+', 'rate': 7308.2, 'value': 19205}, {'age': '65_to_84', 'rate': 2177.5, 'value': 38490}, {'age': '18_to_64', 'rate': 550.3, 'value': 34935}, {'age': '0_to_5', 'rate': 121.5, 'value': 891}]"
2021-10-09,Midlands,132,8.4,991,120,"[{'age': '6_to_17', 'rate': 61.4, 'value': 950}, {'age': '85+', 'rate': 7301.8, 'value': 19188}, {'age': '65_to_84', 'rate': 2175.1, 'value': 38446}, {'age': '18_to_64', 'rate': 549.5, 'value': 34882}, {'age': '0_to_5', 'rate': 121.5, 'value': 891}]"
2021-10-08,Midlands,128,8.1,1008,132,"[{'age': '6_to_17', 'rate': 61.2, 'value': 946}, {'age': '85+', 'rate': 7294.9, 'value': 19170}, {'age': '65_to_84', 'rate': 2172.3, 'value': 38397}, {'age': '18_to_64', 'rate': 548.5, 'value': 34823}, {'age': '0_to_5', 'rate': 121.2, 'value': 889}]"
2021-10-07,Midlands,135,8.1,1027,132,"[{'age': '6_to_17', 'rate': 60.9, 'value': 942}, {'age': '85+', 'rate': 7288.1, 'value': 19152}, {'age': '65_to_84', 'rate': 2169.2, 'value': 38343}, {'age': '18_to_64', 'rate': 547.8, 'value': 34775}, {'age': '0_to_5', 'rate': 120.7, 'value': 885}]"
2021-10-06,Midlands,119,7.9,1042,133,"[{'age': '6_to_17', 'rate': 60.8, 'value': 940}, {'age': '85+', 'rate': 7280.4, 'value': 19132}, {'age': '65_to_84', 'rate': 2166.1, 'value': 38288}, {'age': '18_to_64', 'rate': 546.9, 'value': 34720}, {'age': '0_to_5', 'rate': 120.3, 'value': 882}]"
2021-10-05,Midlands,128,8.0,1029,137,"[{'age': '6_to_17', 'rate': 60.6, 'value': 937}, {'age': '85+', 'rate': 7274.0, 'value': 19115}, {'age': '65_to_84', 'rate': 2163.5, 'value': 38241}, {'age': '18_to_64', 'rate': 546.2, 'value': 34672}, {'age': '0_to_5', 'rate': 119.7, 'value': 878}]"
2021-10-04,Midlands,127,7.8,973,131,"[{'age': '6_to_17', 'rate': 60.5, 'value': 936}, {'age': '85+', 'rate': 7262.9, 'value': 19086}, {'age': '65_to_84', 'rate': 2160.8, 'value': 38194}, {'age': '18_to_64', 'rate': 545.4, 'value': 34623}, {'age': '0_to_5', 'rate': 119.5, 'value': 876}]"
2021-10-03,Midlands,130,7.8,971,130,"[{'age': '6_to_17', 'rate': 60.3, 'value': 932}, {'age': '85+', 'rate': 7253.4, 'value': 19061}, {'age': '65_to_84', 'rate': 2158.2, 'value': 38148}, {'age': '18_to_64', 'rate': 544.6, 'value': 34574}, {'age': '0_to_5', 'rate': 119.1, 'value': 873}]"
2021-10-02,Midlands,99,7.6,883,122,"[{'age': '6_to_17', 'rate': 59.9, 'value': 927}, {'age': '85+', 'rate': 7247.0, 'value': 19044}, {'age': '65_to_84', 'rate': 2155.6, 'value': 38102}, {'age': '18_to_64', 'rate': 543.7, 'value': 34516}, {'age': '0_to_5', 'rate': 118.5, 'value': 869}]"
2021-10-01,Midlands,121,7.5,930,130,"[{'age': '6_to_17', 'rate': 59.8, 'value': 925}, {'age': '85+', 'rate': 7240.1, 'value': 19026}, {'age': '65_to_84', 'rate': 2153.7, 'value': 38069}, {'age': '18_to_64', 'rate': 543.0, 'value': 34471}, {'age': '0_to_5', 'rate': 118.4, 'value': 868}]"
2021-09-30,Midlands,116,7.3,965,134,"[{'age': '6_to_17', 'rate': 59.7, 'value': 924}, {'age': '85+', 'rate': 7231.0, 'value': 19002}, {'age': '65_to_84', 'rate': 2151.3, 'value': 38026}, {'age': '18_to_64', 'rate': 542.2, 'value': 34421}, {'age': '0_to_5', 'rate': 118.0, 'value': 865}]"
2021-09-29,Midlands,129,7.4,1003,139,"[{'age': '6_to_17', 'rate': 59.4, 'value': 919}, {'age': '85+', 'rate': 7224.9, 'value': 18986}, {'age': '65_to_84', 'rate': 2149.1, 'value': 37988}, {'age': '18_to_64', 'rate': 541.3, 'value': 34366}, {'age': '0_to_5', 'rate': 117.7, 'value': 863}]"
2021-09-28,Midlands,113,7.2,1012,139,"[{'age': '6_to_17', 'rate': 59.2, 'value': 916}, {'age': '85+', 'rate': 7218.8, 'value': 18970}, {'age': '65_to_84', 'rate': 2147.3, 'value': 37955}, {'age': '18_to_64', 'rate': 540.2, 'value': 34293}, {'age': '0_to_5', 'rate': 117.1, 'value': 859}]"
2021-09-27,Midlands,127,7.3,1011,144,"[{'age': '6_to_17', 'rate': 59.0, 'value': 912}, {'age': '85+', 'rate': 7213.5, 'value': 18956}, {'age': '65_to_84', 'rate': 2144.9, 'value': 37913}, {'age': '18_to_64', 'rate': 539.4, 'value': 34243}, {'age': '0_to_5', 'rate': 116.7, 'value': 856}]"
2021-09-26,Midlands,104,7.1,1009,146,"[{'age': '6_to_17', 'rate': 58.5, 'value': 905}, {'age': '85+', 'rate': 7205.9, 'value': 18936}, {'age': '65_to_84', 'rate': 2142.3, 'value': 37867}, {'age': '18_to_64', 'rate': 538.6, 'value': 34191}, {'age': '0_to_5', 'rate': 116.5, 'value': 854}]"
2021-09-25,Midlands,86,7.3,998,147,"[{'age': '6_to_17', 'rate': 58.4, 'value': 903}, {'age': '85+', 'rate': 7202.1, 'value': 18926}, {'age': '65_to_84', 'rate': 2140.4, 'value': 37833}, {'age': '18_to_64', 'rate': 537.7, 'value': 34137}, {'age': '0_to_5', 'rate': 115.9, 'value': 850}]"
2021-09-24,Midlands,101,7.5,1044,155,"[{'age': '6_to_17', 'rate': 58.3, 'value': 902}, {'age': '85+', 'rate': 7195.2, 'value': 18908}, {'age': '65_to_84', 'rate': 2138.2, 'value': 37794}, {'age': '18_to_64', 'rate': 537.3, 'value': 34112}, {'age': '0_to_5', 'rate': 115.5, 'value': 847}]"
2021-09-23,Midlands,124,7.6,1068,157,"[{'age': '6_to_17', 'rate': 58.0, 'value': 897}, {'age': '85+', 'rate': 7192.5, 'value': 18901}, {'age': '65_to_84', 'rate': 2135.6, 'value': 37748}, {'age': '18_to_64', 'rate': 536.7, 'value': 34070}, {'age': '0_to_5', 'rate': 115.4, 'value': 846}]"
2021-09-22,Midlands,110,7.7,1113,161,"[{'age': '6_to_17', 'rate': 57.9, 'value': 896}, {'age': '85+', 'rate': 7185.3, 'value': 18882}, {'age': '65_to_84', 'rate': 2133.2, 'value': 37707}, {'age': '18_to_64', 'rate': 535.7, 'value': 34009}, {'age': '0_to_5', 'rate': 115.1, 'value': 844}]"
2021-09-21,Midlands,123,7.7,1150,169,"[{'age': '6_to_17', 'rate': 57.5, 'value': 890}, {'age': '85+', 'rate': 7178.5, 'value': 18864}, {'age': '65_to_84', 'rate': 2131.4, 'value': 37674}, {'age': '18_to_64', 'rate': 534.9, 'value': 33957}, {'age': '0_to_5', 'rate': 115.0, 'value': 843}]"
2021-09-20,Midlands,114,7.8,1178,176,"[{'age': '6_to_17', 'rate': 57.1, 'value': 883}, {'age': '85+', 'rate': 7170.5, 'value': 18843}, {'age': '65_to_84', 'rate': 2128.9, 'value': 37631}, {'age': '18_to_64', 'rate': 534.1, 'value': 33905}, {'age': '0_to_5', 'rate': 115.0, 'value': 843}]"
2021-09-19,Midlands,123,7.9,1159,173,"[{'age': '6_to_17', 'rate': 56.9, 'value': 880}, {'age': '85+', 'rate': 7164.4, 'value': 18827}, {'age': '65_to_84', 'rate': 2126.7, 'value': 37591}, {'age': '18_to_64', 'rate': 533.3, 'value': 33856}, {'age': '0_to_5', 'rate': 114.1, 'value': 837}]"
2021-09-18,Midlands,102,8.0,1134,170,"[{'age': '6_to_17', 'rate': 56.7, 'value': 877}, {'age': '85+', 'rate': 7159.1, 'value': 18813}, {'age': '65_to_84', 'rate': 2123.9, 'value': 37542}, {'age': '18_to_64', 'rate': 532.5, 'value': 33803}, {'age': '0_to_5', 'rate': 113.6, 'value': 833}]"
2021-09-17,Midlands,112,8.2,1209,172,"[{'age': '6_to_17', 'rate': 56.7, 'value': 877}, {'age': '85+', 'rate': 7157.2, 'value': 18808}, {'age': '65_to_84', 'rate': 2121.4, 'value': 37497}, {'age': '18_to_64', 'rate': 531.7, 'value': 33754}, {'age': '0_to_5', 'rate': 113.2, 'value': 830}]"
2021-09-16,Midlands,138,8.4,1227,166,"[{'age': '6_to_17', 'rate': 56.6, 'value': 875}, {'age': '85+', 'rate': 7149.5, 'value': 18788}, {'age': '65_to_84', 'rate': 2119.5, 'value': 37464}, {'age': '18_to_64', 'rate': 530.8, 'value': 33698}, {'age': '0_to_5', 'rate': 113.1, 'value': 829}]"
2021-09-15,Midlands,110,8.5,1257,176,"[{'age': '6_to_17', 'rate': 56.4, 'value': 872}, {'age': '85+', 'rate': 7141.6, 'value': 18767}, {'age': '65_to_84', 'rate': 2116.3, 'value': 37408}, {'age': '18_to_64', 'rate': 529.9, 'value': 33642}, {'age': '0_to_5', 'rate': 112.8, 'value': 827}]"
2021-09-14,Midlands,128,9.6,1296,179,"[{'age': '6_to_17', 'rate': 56.0, 'value': 866}, {'age': '85+', 'rate': 7133.6, 'value': 18746}, {'age': '65_to_84', 'rate': 2114.3, 'value': 37372}, {'age': '18_to_64', 'rate': 529.2, 'value': 33596}, {'age': '0_to_5', 'rate': 112.6, 'value': 826}]"
2021-09-13,Midlands,133,9.8,1304,175,"[{'age': '6_to_17', 'rate': 55.8, 'value': 863}, {'age': '85+', 'rate': 7129.0, 'value': 18734}, {'age': '65_to_84', 'rate': 2111.3, 'value': 37319}, {'age': '18_to_64', 'rate': 528.3, 'value': 33538}, {'age': '0_to_5', 'rate': 112.4, 'value': 824}]"
2021-09-12,Midlands,133,9.9,1307,178,"[{'age': '6_to_17', 'rate': 55.5, 'value': 859}, {'age': '85+', 'rate': 7120.6, 'value': 18712}, {'age': '65_to_84', 'rate': 2108.5, 'value': 37269}, {'age': '18_to_64', 'rate': 527.4, 'value': 33483}, {'age': '0_to_5', 'rate': 112.1, 'value': 822}]"
2021-09-11,Midlands,123,9.9,1271,171,"[{'age': '6_to_17', 'rate': 55.4, 'value': 857}, {'age': '85+', 'rate': 7114.2, 'value': 18695}, {'age': '65_to_84', 'rate': 2105.2, 'value': 37211}, {'age': '18_to_64', 'rate': 526.6, 'value': 33431}, {'age': '0_to_5', 'rate': 111.6, 'value': 818}]"
2021-09-10,Midlands,133,10.1,1341,179,"[{'age': '6_to_17', 'rate': 55.2, 'value': 854}, {'age': '85+', 'rate': 7103.9, 'value': 18668}, {'age': '65_to_84', 'rate': 2102.6, 'value': 37165}, {'age': '18_to_64', 'rate': 526.0, 'value': 33390}, {'age': '0_to_5', 'rate': 110.7, 'value': 812}]"
2021-09-09,Midlands,147,10.3,1265,174,"[{'age': '6_to_17', 'rate': 55.2, 'value': 853}, {'age': '85+', 'rate': 7098.6, 'value': 18654}, {'age': '65_to_84', 'rate': 2099.4, 'value': 37109}, {'age': '18_to_64', 'rate': 525.0, 'value': 33331}, {'age': '0_to_5', 'rate': 110.3, 'value': 809}]"
2021-09-08,Midlands,224,10.0,1264,168,"[{'age': '6_to_17', 'rate': 55.0, 'value': 850}, {'age': '85+', 'rate': 7089.0, 'value': 18629}, {'age': '65_to_84', 'rate': 2096.9, 'value': 37064}, {'age': '18_to_64', 'rate': 523.9, 'value': 33260}, {'age': '0_to_5', 'rate': 109.9, 'value': 806}]"
2021-09-07,Midlands,153,9.4,1145,155,"[{'age': '6_to_17', 'rate': 54.6, 'value': 845}, {'age': '85+', 'rate': 7077.2, 'value': 18598}, {'age': '65_to_84', 'rate': 2091.7, 'value': 36972}, {'age': '18_to_64', 'rate': 522.5, 'value': 33167}, {'age': '0_to_5', 'rate': 109.5, 'value': 803}]"
2021-09-06,Midlands,147,9.3,1243,168,"[{'age': '6_to_17', 'rate': 54.2, 'value': 839}, {'age': '85+', 'rate': 7070.4, 'value': 18580}, {'age': '65_to_84', 'rate': 2088.6, 'value': 36917}, {'age': '18_to_64', 'rate': 521.4, 'value': 33097}, {'age': '0_to_5', 'rate': 109.0, 'value': 799}]"
2021-09-05,Midlands,124,9.3,1211,167,"[{'age': '6_to_17', 'rate': 53.9, 'value': 833}, {'age': '85+', 'rate': 7063.5, 'value': 18562}, {'age': '65_to_84', 'rate': 2085.2, 'value': 36858}, {'age': '18_to_64', 'rate': 520.4, 'value': 33036}, {'age': '0_to_5', 'rate': 108.6, 'value': 796}]"
