date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-10-28,South West,,,617,65,[]
2021-10-27,South West,,,613,64,[]
2021-10-26,South West,118,12.4,600,60,"[{'age': '0_to_5', 'rate': 105.6, 'value': 367}, {'age': '85+', 'rate': 3802.5, 'value': 6729}, {'age': '6_to_17', 'rate': 56.4, 'value': 433}, {'age': '65_to_84', 'rate': 1158.5, 'value': 12679}, {'age': '18_to_64', 'rate': 402.1, 'value': 13189}]"
2021-10-25,South West,133,12.0,597,58,"[{'age': '0_to_5', 'rate': 104.8, 'value': 364}, {'age': '85+', 'rate': 3795.7, 'value': 6717}, {'age': '6_to_17', 'rate': 56.3, 'value': 432}, {'age': '65_to_84', 'rate': 1154.8, 'value': 12638}, {'age': '18_to_64', 'rate': 400.3, 'value': 13129}]"
2021-10-24,South West,93,11.8,556,53,"[{'age': '0_to_5', 'rate': 104.2, 'value': 362}, {'age': '85+', 'rate': 3786.1, 'value': 6700}, {'age': '6_to_17', 'rate': 54.9, 'value': 421}, {'age': '65_to_84', 'rate': 1150.9, 'value': 12596}, {'age': '18_to_64', 'rate': 398.4, 'value': 13068}]"
2021-10-23,South West,96,12.0,548,54,"[{'age': '0_to_5', 'rate': 103.3, 'value': 359}, {'age': '85+', 'rate': 3777.0, 'value': 6684}, {'age': '6_to_17', 'rate': 54.2, 'value': 416}, {'age': '65_to_84', 'rate': 1148.2, 'value': 12566}, {'age': '18_to_64', 'rate': 397.2, 'value': 13029}]"
2021-10-22,South West,65,11.7,558,62,"[{'age': '0_to_5', 'rate': 103.3, 'value': 359}, {'age': '85+', 'rate': 3769.7, 'value': 6671}, {'age': '6_to_17', 'rate': 54.0, 'value': 414}, {'age': '65_to_84', 'rate': 1144.7, 'value': 12528}, {'age': '18_to_64', 'rate': 395.9, 'value': 12986}]"
2021-10-21,South West,98,11.7,565,61,"[{'age': '0_to_5', 'rate': 103.1, 'value': 358}, {'age': '85+', 'rate': 3764.6, 'value': 6662}, {'age': '6_to_17', 'rate': 53.6, 'value': 411}, {'age': '65_to_84', 'rate': 1142.1, 'value': 12499}, {'age': '18_to_64', 'rate': 395.2, 'value': 12963}]"
2021-10-20,South West,97,11.2,571,65,"[{'age': '0_to_5', 'rate': 101.9, 'value': 354}, {'age': '85+', 'rate': 3759.0, 'value': 6652}, {'age': '6_to_17', 'rate': 53.4, 'value': 410}, {'age': '65_to_84', 'rate': 1138.0, 'value': 12455}, {'age': '18_to_64', 'rate': 394.0, 'value': 12924}]"
2021-10-19,South West,100,11.2,549,60,"[{'age': '0_to_5', 'rate': 101.6, 'value': 353}, {'age': '85+', 'rate': 3751.0, 'value': 6638}, {'age': '6_to_17', 'rate': 53.2, 'value': 408}, {'age': '65_to_84', 'rate': 1134.2, 'value': 12413}, {'age': '18_to_64', 'rate': 392.9, 'value': 12886}]"
2021-10-18,South West,118,11.0,520,60,"[{'age': '0_to_5', 'rate': 101.3, 'value': 352}, {'age': '85+', 'rate': 3742.0, 'value': 6622}, {'age': '6_to_17', 'rate': 53.1, 'value': 407}, {'age': '65_to_84', 'rate': 1130.4, 'value': 12372}, {'age': '18_to_64', 'rate': 391.6, 'value': 12845}]"
2021-10-17,South West,105,10.3,469,54,"[{'age': '0_to_5', 'rate': 100.2, 'value': 348}, {'age': '85+', 'rate': 3734.7, 'value': 6609}, {'age': '6_to_17', 'rate': 52.1, 'value': 400}, {'age': '65_to_84', 'rate': 1126.2, 'value': 12326}, {'age': '18_to_64', 'rate': 390.2, 'value': 12797}]"
2021-10-16,South West,78,9.7,452,51,"[{'age': '0_to_5', 'rate': 97.9, 'value': 340}, {'age': '85+', 'rate': 3727.3, 'value': 6596}, {'age': '6_to_17', 'rate': 51.7, 'value': 397}, {'age': '65_to_84', 'rate': 1122.8, 'value': 12288}, {'age': '18_to_64', 'rate': 388.9, 'value': 12754}]"
2021-10-15,South West,68,9.6,446,48,"[{'age': '0_to_5', 'rate': 97.6, 'value': 339}, {'age': '85+', 'rate': 3721.7, 'value': 6586}, {'age': '6_to_17', 'rate': 51.6, 'value': 396}, {'age': '65_to_84', 'rate': 1119.9, 'value': 12257}, {'age': '18_to_64', 'rate': 387.8, 'value': 12719}]"
2021-10-14,South West,71,9.8,444,52,"[{'age': '0_to_5', 'rate': 97.6, 'value': 339}, {'age': '85+', 'rate': 3717.7, 'value': 6579}, {'age': '6_to_17', 'rate': 51.2, 'value': 393}, {'age': '65_to_84', 'rate': 1117.9, 'value': 12235}, {'age': '18_to_64', 'rate': 386.7, 'value': 12683}]"
2021-10-13,South West,97,10.2,433,51,"[{'age': '0_to_5', 'rate': 97.6, 'value': 339}, {'age': '85+', 'rate': 3712.1, 'value': 6569}, {'age': '6_to_17', 'rate': 51.1, 'value': 392}, {'age': '65_to_84', 'rate': 1115.2, 'value': 12205}, {'age': '18_to_64', 'rate': 385.8, 'value': 12653}]"
2021-10-12,South West,89,9.9,449,53,"[{'age': '0_to_5', 'rate': 97.3, 'value': 338}, {'age': '85+', 'rate': 3707.5, 'value': 6561}, {'age': '6_to_17', 'rate': 50.7, 'value': 389}, {'age': '65_to_84', 'rate': 1111.1, 'value': 12160}, {'age': '18_to_64', 'rate': 384.6, 'value': 12613}]"
2021-10-11,South West,75,9.9,440,49,"[{'age': '0_to_5', 'rate': 97.0, 'value': 337}, {'age': '85+', 'rate': 3701.9, 'value': 6551}, {'age': '6_to_17', 'rate': 50.3, 'value': 386}, {'age': '65_to_84', 'rate': 1108.6, 'value': 12133}, {'age': '18_to_64', 'rate': 383.1, 'value': 12565}]"
2021-10-10,South West,71,10.0,425,47,"[{'age': '0_to_5', 'rate': 96.4, 'value': 335}, {'age': '85+', 'rate': 3698.5, 'value': 6545}, {'age': '6_to_17', 'rate': 49.0, 'value': 376}, {'age': '65_to_84', 'rate': 1106.6, 'value': 12111}, {'age': '18_to_64', 'rate': 382.0, 'value': 12530}]"
2021-10-09,South West,71,9.8,413,52,"[{'age': '0_to_5', 'rate': 96.1, 'value': 334}, {'age': '85+', 'rate': 3691.7, 'value': 6533}, {'age': '6_to_17', 'rate': 48.6, 'value': 373}, {'age': '65_to_84', 'rate': 1104.4, 'value': 12087}, {'age': '18_to_64', 'rate': 381.1, 'value': 12499}]"
2021-10-08,South West,83,9.5,400,51,"[{'age': '0_to_5', 'rate': 95.6, 'value': 332}, {'age': '85+', 'rate': 3687.8, 'value': 6526}, {'age': '6_to_17', 'rate': 48.2, 'value': 370}, {'age': '65_to_84', 'rate': 1101.8, 'value': 12058}, {'age': '18_to_64', 'rate': 380.2, 'value': 12469}]"
2021-10-07,South West,94,9.2,359,48,"[{'age': '0_to_5', 'rate': 94.4, 'value': 328}, {'age': '85+', 'rate': 3682.1, 'value': 6516}, {'age': '6_to_17', 'rate': 47.7, 'value': 366}, {'age': '65_to_84', 'rate': 1099.0, 'value': 12028}, {'age': '18_to_64', 'rate': 379.1, 'value': 12434}]"
2021-10-06,South West,77,8.6,358,42,"[{'age': '0_to_5', 'rate': 93.6, 'value': 325}, {'age': '85+', 'rate': 3677.0, 'value': 6507}, {'age': '6_to_17', 'rate': 46.9, 'value': 360}, {'age': '65_to_84', 'rate': 1096.3, 'value': 11998}, {'age': '18_to_64', 'rate': 377.7, 'value': 12388}]"
2021-10-05,South West,92,8.4,338,41,"[{'age': '0_to_5', 'rate': 93.6, 'value': 325}, {'age': '85+', 'rate': 3669.7, 'value': 6494}, {'age': '6_to_17', 'rate': 46.3, 'value': 355}, {'age': '65_to_84', 'rate': 1094.0, 'value': 11973}, {'age': '18_to_64', 'rate': 376.7, 'value': 12354}]"
2021-10-04,South West,79,7.9,347,40,"[{'age': '0_to_5', 'rate': 93.0, 'value': 323}, {'age': '85+', 'rate': 3665.2, 'value': 6486}, {'age': '6_to_17', 'rate': 46.0, 'value': 353}, {'age': '65_to_84', 'rate': 1091.5, 'value': 11946}, {'age': '18_to_64', 'rate': 375.0, 'value': 12301}]"
2021-10-03,South West,59,7.8,331,36,"[{'age': '0_to_5', 'rate': 92.7, 'value': 322}, {'age': '85+', 'rate': 3659.5, 'value': 6476}, {'age': '6_to_17', 'rate': 45.8, 'value': 351}, {'age': '65_to_84', 'rate': 1089.1, 'value': 11920}, {'age': '18_to_64', 'rate': 373.8, 'value': 12261}]"
2021-10-02,South West,55,7.8,322,37,"[{'age': '0_to_5', 'rate': 92.4, 'value': 321}, {'age': '85+', 'rate': 3656.1, 'value': 6470}, {'age': '6_to_17', 'rate': 45.2, 'value': 347}, {'age': '65_to_84', 'rate': 1087.4, 'value': 11901}, {'age': '18_to_64', 'rate': 372.9, 'value': 12232}]"
2021-10-01,South West,64,7.8,334,50,"[{'age': '0_to_5', 'rate': 91.3, 'value': 317}, {'age': '85+', 'rate': 3654.4, 'value': 6467}, {'age': '6_to_17', 'rate': 44.7, 'value': 343}, {'age': '65_to_84', 'rate': 1086.2, 'value': 11888}, {'age': '18_to_64', 'rate': 372.0, 'value': 12201}]"
