week_ended,week_number,total_registrations,covid_registrations,covid_occurrences,estimated_occurrences
2010-01-08,1,879,,,
2010-01-15,2,758,,,
2010-01-22,3,774,,,
2010-01-29,4,663,,,
2010-02-05,5,688,,,
2010-02-12,6,622,,,
2010-02-19,7,636,,,
2010-02-26,8,665,,,
2010-03-05,9,623,,,
2010-03-12,10,607,,,
2010-03-19,11,617,,,
2010-03-26,12,591,,,
2010-04-02,13,501,,,
2010-04-09,14,608,,,
2010-04-16,15,639,,,
2010-04-23,16,557,,,
2010-04-30,17,616,,,
2010-05-07,18,555,,,
2010-05-14,19,565,,,
2010-05-21,20,591,,,
2010-05-28,21,563,,,
2010-06-04,22,541,,,
2010-06-11,23,591,,,
2010-06-18,24,525,,,
2010-06-25,25,510,,,
2010-07-02,26,592,,,
2010-07-09,27,555,,,
2010-07-16,28,573,,,
2010-07-23,29,528,,,
2010-07-30,30,552,,,
2010-08-06,31,538,,,
2010-08-13,32,510,,,
2010-08-20,33,526,,,
2010-08-27,34,511,,,
2010-09-03,35,514,,,
2010-09-10,36,531,,,
2010-09-17,37,508,,,
2010-09-24,38,567,,,
2010-10-01,39,579,,,
2010-10-08,40,580,,,
2010-10-15,41,562,,,
2010-10-22,42,599,,,
2010-10-29,43,531,,,
2010-11-05,44,572,,,
2010-11-12,45,564,,,
2010-11-19,46,597,,,
2010-11-26,47,605,,,
2010-12-03,48,651,,,
2010-12-10,49,695,,,
2010-12-17,50,690,,,
2010-12-24,51,751,,,
2010-12-31,52,707,,,
2011-01-07,1,846,,,
2011-01-14,2,772,,,
2011-01-21,3,638,,,
2011-01-28,4,656,,,
2011-02-04,5,687,,,
2011-02-11,6,679,,,
2011-02-18,7,609,,,
2011-02-25,8,580,,,
2011-03-04,9,590,,,
2011-03-11,10,630,,,
2011-03-18,11,593,,,
2011-03-25,12,633,,,
2011-04-01,13,574,,,
2011-04-08,14,566,,,
2011-04-15,15,573,,,
2011-04-22,16,535,,,
2011-04-29,17,565,,,
2011-05-06,18,654,,,
2011-05-13,19,616,,,
2011-05-20,20,577,,,
2011-05-27,21,583,,,
2011-06-03,22,544,,,
2011-06-10,23,601,,,
2011-06-17,24,512,,,
2011-06-24,25,544,,,
2011-07-01,26,526,,,
2011-07-08,27,579,,,
2011-07-15,28,538,,,
2011-07-22,29,529,,,
2011-07-29,30,526,,,
2011-08-05,31,547,,,
2011-08-12,32,515,,,
2011-08-19,33,491,,,
2011-08-26,34,563,,,
2011-09-02,35,471,,,
2011-09-09,36,580,,,
2011-09-16,37,505,,,
2011-09-23,38,506,,,
2011-09-30,39,544,,,
2011-10-07,40,567,,,
2011-10-14,41,511,,,
2011-10-21,42,557,,,
2011-10-28,43,604,,,
2011-11-04,44,617,,,
2011-11-11,45,571,,,
2011-11-18,46,554,,,
2011-11-25,47,599,,,
2011-12-02,48,591,,,
2011-12-09,49,602,,,
2011-12-16,50,623,,,
2011-12-23,51,680,,,
2011-12-30,52,554,,,
2012-01-06,1,660,,,
2012-01-13,2,707,,,
2012-01-20,3,635,,,
2012-01-27,4,644,,,
2012-02-03,5,586,,,
2012-02-10,6,622,,,
2012-02-17,7,628,,,
2012-02-24,8,630,,,
2012-03-02,9,668,,,
2012-03-09,10,679,,,
2012-03-16,11,610,,,
2012-03-23,12,637,,,
2012-03-30,13,593,,,
2012-04-06,14,596,,,
2012-04-13,15,662,,,
2012-04-20,16,644,,,
2012-04-27,17,655,,,
2012-05-04,18,609,,,
2012-05-11,19,590,,,
2012-05-18,20,636,,,
2012-05-25,21,603,,,
2012-06-01,22,605,,,
2012-06-08,23,489,,,
2012-06-15,24,630,,,
2012-06-22,25,559,,,
2012-06-29,26,509,,,
2012-07-06,27,573,,,
2012-07-13,28,572,,,
2012-07-20,29,567,,,
2012-07-27,30,558,,,
2012-08-03,31,576,,,
2012-08-10,32,548,,,
2012-08-17,33,604,,,
2012-08-24,34,553,,,
2012-08-31,35,478,,,
2012-09-07,36,534,,,
2012-09-14,37,511,,,
2012-09-21,38,538,,,
2012-09-28,39,615,,,
2012-10-05,40,561,,,
2012-10-12,41,613,,,
2012-10-19,42,543,,,
2012-10-26,43,574,,,
2012-11-02,44,609,,,
2012-11-09,45,609,,,
2012-11-16,46,586,,,
2012-11-23,47,608,,,
2012-11-30,48,629,,,
2012-12-07,49,668,,,
2012-12-14,50,650,,,
2012-12-21,51,744,,,
2012-12-28,52,552,,,
2013-01-04,1,725,,,
2013-01-11,2,755,,,
2013-01-18,3,647,,,
2013-01-25,4,738,,,
2013-02-01,5,749,,,
2013-02-08,6,682,,,
2013-02-15,7,697,,,
2013-02-22,8,688,,,
2013-03-01,9,642,,,
2013-03-08,10,719,,,
2013-03-15,11,720,,,
2013-03-22,12,729,,,
2013-03-29,13,617,,,
2013-04-05,14,736,,,
2013-04-12,15,792,,,
2013-04-19,16,770,,,
2013-04-26,17,708,,,
2013-05-03,18,657,,,
2013-05-10,19,547,,,
2013-05-17,20,603,,,
2013-05-24,21,606,,,
2013-05-31,22,557,,,
2013-06-07,23,603,,,
2013-06-14,24,556,,,
2013-06-21,25,583,,,
2013-06-28,26,533,,,
2013-07-05,27,520,,,
2013-07-12,28,534,,,
2013-07-19,29,513,,,
2013-07-26,30,553,,,
2013-08-02,31,518,,,
2013-08-09,32,516,,,
2013-08-16,33,524,,,
2013-08-23,34,524,,,
2013-08-30,35,511,,,
2013-09-06,36,569,,,
2013-09-13,37,530,,,
2013-09-20,38,543,,,
2013-09-27,39,558,,,
2013-10-04,40,589,,,
2013-10-11,41,555,,,
2013-10-18,42,594,,,
2013-10-25,43,551,,,
2013-11-01,44,559,,,
2013-11-08,45,591,,,
2013-11-15,46,597,,,
2013-11-22,47,609,,,
2013-11-29,48,627,,,
2013-12-06,49,621,,,
2013-12-13,50,654,,,
2013-12-20,51,644,,,
