week_ended,week_number,total_occurrences
08/01/2010,1,11770
15/01/2010,2,11849
22/01/2010,3,11018
29/01/2010,4,10667
05/02/2010,5,10482
12/02/2010,6,10043
19/02/2010,7,10212
26/02/2010,8,10165
05/03/2010,9,9646
12/03/2010,10,9731
19/03/2010,11,9694
26/03/2010,12,9508
02/04/2010,13,9398
09/04/2010,14,9346
16/04/2010,15,9143
23/04/2010,16,9349
30/04/2010,17,9217
07/05/2010,18,8854
14/05/2010,19,9098
21/05/2010,20,9286
28/05/2010,21,8881
04/06/2010,22,8949
11/06/2010,23,8527
18/06/2010,24,8331
25/06/2010,25,8746
02/07/2010,26,9012
09/07/2010,27,8403
16/07/2010,28,8313
23/07/2010,29,8177
30/07/2010,30,8295
06/08/2010,31,8204
13/08/2010,32,8408
20/08/2010,33,8567
27/08/2010,34,8443
03/09/2010,35,8482
10/09/2010,36,8604
17/09/2010,37,8527
24/09/2010,38,9011
01/10/2010,39,8858
08/10/2010,40,9126
15/10/2010,41,9115
22/10/2010,42,9454
29/10/2010,43,9417
05/11/2010,44,9458
12/11/2010,45,9444
19/11/2010,46,9291
26/11/2010,47,9629
03/12/2010,48,10335
10/12/2010,49,10905
17/12/2010,50,11053
24/12/2010,51,11813
31/12/2010,52,12556
07/01/2011,1,12670
14/01/2011,2,11747
21/01/2011,3,10494
28/01/2011,4,10091
04/02/2011,5,10055
11/02/2011,6,9895
18/02/2011,7,9596
25/02/2011,8,9441
04/03/2011,9,9291
11/03/2011,10,9892
18/03/2011,11,9745
25/03/2011,12,9581
01/04/2011,13,9338
08/04/2011,14,9364
15/04/2011,15,9264
22/04/2011,16,9464
29/04/2011,17,9066
06/05/2011,18,9104
13/05/2011,19,8877
20/05/2011,20,8891
27/05/2011,21,8743
03/06/2011,22,8840
10/06/2011,23,8717
17/06/2011,24,8668
24/06/2011,25,8551
01/07/2011,26,8677
08/07/2011,27,8710
15/07/2011,28,8298
22/07/2011,29,8522
29/07/2011,30,8559
05/08/2011,31,8681
12/08/2011,32,8461
19/08/2011,33,8112
26/08/2011,34,8451
02/09/2011,35,8461
09/09/2011,36,8488
16/09/2011,37,8457
23/09/2011,38,8658
30/09/2011,39,8871
07/10/2011,40,8552
14/10/2011,41,8580
21/10/2011,42,8826
28/10/2011,43,9309
04/11/2011,44,9590
11/11/2011,45,9024
18/11/2011,46,9131
25/11/2011,47,9298
02/12/2011,48,9505
09/12/2011,49,9881
16/12/2011,50,10611
23/12/2011,51,10844
30/12/2011,52,10657
06/01/2012,1,10838
13/01/2012,2,10310
20/01/2012,3,10264
27/01/2012,4,9999
03/02/2012,5,10149
10/02/2012,6,10621
17/02/2012,7,11079
24/02/2012,8,10922
02/03/2012,9,10708
09/03/2012,10,10165
16/03/2012,11,9960
23/03/2012,12,9883
30/03/2012,13,9827
06/04/2012,14,9705
13/04/2012,15,9887
20/04/2012,16,9963
27/04/2012,17,10017
04/05/2012,18,9439
11/05/2012,19,9560
18/05/2012,20,9156
25/05/2012,21,9647
01/06/2012,22,9028
08/06/2012,23,8842
15/06/2012,24,8916
22/06/2012,25,8791
29/06/2012,26,8958
06/07/2012,27,8645
13/07/2012,28,8667
20/07/2012,29,8619
27/07/2012,30,9204
03/08/2012,31,8809
10/08/2012,32,8846
17/08/2012,33,8733
24/08/2012,34,8584
31/08/2012,35,8361
07/09/2012,36,8690
14/09/2012,37,8674
21/09/2012,38,8783
28/09/2012,39,9040
05/10/2012,40,9319
12/10/2012,41,9380
19/10/2012,42,9408
26/10/2012,43,9220
02/11/2012,44,9533
09/11/2012,45,9757
16/11/2012,46,9547
23/11/2012,47,9627
30/11/2012,48,9608
07/12/2012,49,10094
14/12/2012,50,10699
21/12/2012,51,11378
28/12/2012,52,11338
04/01/2013,1,11724
11/01/2013,2,11133
18/01/2013,3,11042
25/01/2013,4,11075
01/02/2013,5,11361
08/02/2013,6,10925
15/02/2013,7,11000
22/02/2013,8,10783
01/03/2013,9,11177
08/03/2013,10,11430
15/03/2013,11,11025
22/03/2013,12,11078
29/03/2013,13,10982
05/04/2013,14,11208
12/04/2013,15,11425
19/04/2013,16,10584
26/04/2013,17,9976
03/05/2013,18,9652
10/05/2013,19,9342
17/05/2013,20,9376
24/05/2013,21,9197
31/05/2013,22,9052
07/06/2013,23,8760
14/06/2013,24,8830
21/06/2013,25,8805
28/06/2013,26,8383
05/07/2013,27,8605
12/07/2013,28,8583
19/07/2013,29,8910
26/07/2013,30,8185
02/08/2013,31,8327
09/08/2013,32,8069
16/08/2013,33,8376
23/08/2013,34,8336
30/08/2013,35,8500
06/09/2013,36,8267
13/09/2013,37,8459
20/09/2013,38,8766
27/09/2013,39,8965
04/10/2013,40,9154
11/10/2013,41,8821
18/10/2013,42,9107
25/10/2013,43,9218
01/11/2013,44,9146
08/11/2013,45,9162
15/11/2013,46,9367
22/11/2013,47,9554
29/11/2013,48,9699
06/12/2013,49,9630
13/12/2013,50,10012
20/12/2013,51,9959
27/12/2013,52,10486
03/01/2014,1,10732
10/01/2014,2,10532
17/01/2014,3,10252
24/01/2014,4,9878
31/01/2014,5,9958
07/02/2014,6,10172
14/02/2014,7,10337
21/02/2014,8,10406
28/02/2014,9,9841
07/03/2014,10,9841
14/03/2014,11,9616
21/03/2014,12,9542
28/03/2014,13,9513
04/04/2014,14,9770
11/04/2014,15,9248
18/04/2014,16,9264
25/04/2014,17,9424
02/05/2014,18,9310
09/05/2014,19,9189
16/05/2014,20,8840
23/05/2014,21,8995
30/05/2014,22,8765
06/06/2014,23,8857
13/06/2014,24,9148
20/06/2014,25,8668
27/06/2014,26,8767
04/07/2014,27,8813
11/07/2014,28,8695
18/07/2014,29,9002
25/07/2014,30,9004
01/08/2014,31,8644
08/08/2014,32,8474
15/08/2014,33,8547
22/08/2014,34,8766
29/08/2014,35,9170
05/09/2014,36,9005
12/09/2014,37,8746
19/09/2014,38,9123
26/09/2014,39,8756
03/10/2014,40,9238
10/10/2014,41,9097
17/10/2014,42,9573
24/10/2014,43,9665
31/10/2014,44,9605
07/11/2014,45,9483
14/11/2014,46,10062
21/11/2014,47,9741
28/11/2014,48,9870
05/12/2014,49,10289
12/12/2014,50,11198
19/12/2014,51,12106
26/12/2014,52,12553
02/01/2015,1,14175
09/01/2015,2,14586
16/01/2015,3,13788
23/01/2015,4,12681
30/01/2015,5,12386
06/02/2015,6,11705
13/02/2015,7,11752
20/02/2015,8,11604
27/02/2015,9,11317
06/03/2015,10,10976
13/03/2015,11,10679
20/03/2015,12,10399
27/03/2015,13,10706
03/04/2015,14,10660
10/04/2015,15,10335
17/04/2015,16,10110
24/04/2015,17,9877
01/05/2015,18,9782
08/05/2015,19,9762
15/05/2015,20,9535
22/05/2015,21,9530
29/05/2015,22,9299
05/06/2015,23,9507
12/06/2015,24,9313
19/06/2015,25,9098
26/06/2015,26,9105
03/07/2015,27,9213
10/07/2015,28,8598
17/07/2015,29,8648
24/07/2015,30,8585
31/07/2015,31,8764
07/08/2015,32,9141
14/08/2015,33,9146
21/08/2015,34,8875
28/08/2015,35,8791
04/09/2015,36,8668
11/09/2015,37,9080
18/09/2015,38,9267
25/09/2015,39,9442
02/10/2015,40,9638
09/10/2015,41,9635
16/10/2015,42,9578
23/10/2015,43,9894
30/10/2015,44,9918
06/11/2015,45,9840
13/11/2015,46,9584
20/11/2015,47,9610
27/11/2015,48,10214
04/12/2015,49,10325
11/12/2015,50,10486
18/12/2015,51,10264
25/12/2015,52,10323
01/01/2016,53,10613
08/01/2016,1,11128
15/01/2016,2,11065
22/01/2016,3,11444
29/01/2016,4,11113
05/02/2016,5,11051
12/02/2016,6,11151
19/02/2016,7,10943
26/02/2016,8,11070
04/03/2016,9,11227
11/03/2016,10,11204
18/03/2016,11,11201
25/03/2016,12,11101
01/04/2016,13,10580
08/04/2016,14,10715
15/04/2016,15,10685
22/04/2016,16,10096
29/04/2016,17,10071
06/05/2016,18,9764
13/05/2016,19,9965
20/05/2016,20,9466
27/05/2016,21,9134
03/06/2016,22,9160
10/06/2016,23,9493
17/06/2016,24,9232
24/06/2016,25,9088
01/07/2016,26,8728
08/07/2016,27,9473
15/07/2016,28,8934
22/07/2016,29,10004
29/07/2016,30,9031
05/08/2016,31,8906
12/08/2016,32,9123
19/08/2016,33,9353
26/08/2016,34,9172
02/09/2016,35,8785
09/09/2016,36,8979
16/09/2016,37,8965
23/09/2016,38,8675
30/09/2016,39,9147
07/10/2016,40,9387
14/10/2016,41,9791
21/10/2016,42,10098
28/10/2016,43,10101
04/11/2016,44,10270
11/11/2016,45,10558
18/11/2016,46,10704
25/11/2016,47,10499
02/12/2016,48,10666
09/12/2016,49,11257
16/12/2016,50,11288
23/12/2016,51,11447
30/12/2016,52,12071
06/01/2017,1,12993
13/01/2017,2,13501
20/01/2017,3,12744
27/01/2017,4,12350
03/02/2017,5,12630
10/02/2017,6,11702
17/02/2017,7,11834
24/02/2017,8,11175
03/03/2017,9,10987
10/03/2017,10,10674
17/03/2017,11,9998
24/03/2017,12,9972
31/03/2017,13,10027
07/04/2017,14,9626
