date,cc_open,cc_occupied
2017-11-20,465,388
2017-11-21,480,422
2017-11-22,482,415
2017-11-23,486,420
2017-11-24,477,358
2017-11-25,479,364
2017-11-26,484,364
2017-11-27,483,416
2017-11-28,479,413
2017-11-29,484,420
2017-11-30,486,425
2017-12-01,473,401
2017-12-02,485,407
2017-12-03,485,401
2017-12-04,483,423
2017-12-05,487,438
2017-12-06,489,436
2017-12-07,484,437
2017-12-08,484,407
2017-12-09,480,410
2017-12-10,482,414
2017-12-11,481,417
2017-12-12,480,429
2017-12-13,485,428
2017-12-14,490,434
2017-12-15,480,415
2017-12-16,486,424
2017-12-17,482,421
2017-12-18,479,426
2017-12-19,480,430
2017-12-20,480,415
2017-12-21,483,428
2017-12-22,485,395
2017-12-23,455,372
2017-12-24,443,357
2017-12-25,482,370
2017-12-26,484,382
2017-12-27,477,409
2017-12-28,479,415
2017-12-29,478,415
2017-12-30,480,415
2017-12-31,479,415
2018-01-01,476,417
2018-01-02,485,446
2018-01-03,482,446
2018-01-04,484,446
2018-01-05,484,446
2018-01-06,483,435
2018-01-07,485,431
2018-01-08,473,428
2018-01-09,478,430
2018-01-10,489,427
2018-01-11,491,447
2018-01-12,490,435
2018-01-13,491,439
2018-01-14,483,426
2018-01-15,484,430
2018-01-16,486,444
2018-01-17,488,446
2018-01-18,485,442
2018-01-19,483,438
2018-01-20,487,441
2018-01-21,487,431
2018-01-22,487,428
2018-01-23,492,443
2018-01-24,486,435
2018-01-25,485,436
2018-01-26,485,430
2018-01-27,440,384
2018-01-28,480,404
2018-01-29,479,422
2018-01-30,482,438
2018-01-31,481,439
2018-02-01,489,439
2018-02-02,487,434
2018-02-03,486,428
2018-02-04,473,412
2018-02-05,481,425
2018-02-06,486,446
2018-02-07,485,429
2018-02-08,484,409
2018-02-09,485,421
2018-02-10,466,402
2018-02-11,488,422
2018-02-12,481,430
2018-02-13,492,437
2018-02-14,490,436
2018-02-15,493,427
2018-02-16,484,429
2018-02-17,484,425
2018-02-18,478,405
2018-02-19,472,422
2018-02-20,482,435
2018-02-21,488,433
2018-02-22,488,429
2018-02-23,486,408
2018-02-24,485,410
2018-02-25,474,389
2018-02-26,475,408
2018-02-27,480,408
2018-02-28,484,414
2018-03-01,487,422
2018-03-02,478,388
2018-03-03,476,384
2018-03-04,476,380
