week_ended,week_number,covid_registrations,covid_underlying
2020-01-03,1,0,0
2020-01-10,2,0,0
2020-01-17,3,0,0
2020-01-24,4,0,0
2020-01-31,5,0,0
2020-02-07,6,0,0
2020-02-14,7,0,0
2020-02-21,8,0,0
2020-02-28,9,0,0
2020-03-06,10,0,0
2020-03-13,11,5,5
2020-03-20,12,103,95
2020-03-27,13,539,519
2020-04-03,14,3475,3332
2020-04-10,15,6213,5983
2020-04-17,16,8758,8435
2020-04-24,17,8237,7867
2020-05-01,18,6035,5689
2020-05-08,19,3930,3664
2020-05-15,20,3810,3511
2020-05-22,21,2589,2341
2020-05-29,22,1822,1628
2020-06-05,23,1588,1392
2020-06-12,24,1114,948
2020-06-19,25,783,629
2020-06-26,26,606,498
2020-07-03,27,532,408
2020-07-10,28,366,291
2020-07-17,29,295,228
2020-07-24,30,217,161
2020-07-31,31,193,148
2020-08-07,32,152,115
2020-08-14,33,139,104
2020-08-21,34,138,98
2020-08-28,35,101,76
2020-09-04,36,78,69
2020-09-11,37,99,78
2020-09-18,38,139,118
2020-09-25,39,215,178
2020-10-02,40,321,279
2020-10-09,41,438,385
2020-10-16,42,670,590
2020-10-23,43,978,874
2020-10-30,44,1379,1196
2020-11-06,45,1937,1743
2020-11-13,46,2466,2170
2020-11-20,47,2697,2361
2020-11-27,48,3040,2637
2020-12-04,49,2835,2469
2020-12-11,50,2756,2337
2020-12-18,51,2986,2557
2020-12-25,52,2912,2497
2021-01-01,53,3144,2741
2021-01-08,1,6057,5367
2021-01-15,2,7245,6510
2021-01-22,3,8422,7592
2021-01-29,4,8433,7610
2021-02-05,5,7320,6521
2021-02-12,6,5691,5035
2021-02-19,7,4079,3495
2021-02-26,8,2914,2469
2021-03-05,9,2105,1685
2021-03-12,10,1501,1197
2021-03-19,11,963,740
2021-03-26,12,719,535
2021-04-02,13,400,308
2021-04-09,14,379,280
2021-04-16,15,362,275
2021-04-23,16,260,176
2021-04-30,17,205,140
2021-05-07,18,129,94
2021-05-14,19,151,108
2021-05-21,20,107,66
2021-05-28,21,95,70
2021-06-04,22,98,57
2021-06-11,23,84,66
2021-06-18,24,102,74
2021-06-25,25,99,84
2021-07-02,26,109,84
2021-07-09,27,183,147
2021-07-16,28,218,181
2021-07-23,29,327,277
2021-07-30,30,404,348
2021-08-06,31,527,473
2021-08-13,32,571,512
2021-08-20,33,570,497
2021-08-27,34,668,586
